"-- Please Select --","-- Kérem válasszon --"
"Add New Class","Új adóosztály"
"Reset","Alaphelyzet"
"Row Total","Sor összeg"
"Sales","Értékesítések"
"Save Class","Osztály mentése"
"Save Rate","Érték mentése"
"Save Rule","Szabály mentése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Shipping & Handling (Excl.Tax)","Szállítás & kezelés (ÁFA nélkül)"
"Shipping & Handling (Incl.Tax)","Szállítás & kezelés (ÁFA-val)"
"Shipping (Excl. Tax)","Szállítás (Adó nélkül)"
"Shipping (Incl. Tax)","Szállítás (Adóval)"
"Shipping Prices","Szállítási költségek"
"Shopping Cart Display Settings","Kosár megjelenítési beállítások"
"Sort Order","Rendezési sorrend"
"State","Megye"
"State/Region","Megye/Régió"
"Subtotal (Excl. Tax)","Részösszeg (adó nélkül)"
"Subtotal (Excl.Tax)","Részösszeg (ÁFA nélkül)"
"Subtotal (Incl. Tax)","Részösszeg (adóval)"
"Subtotal (Incl.Tax)","Részösszeg (adóval)"
"Tax","Adó"
"Tax Calculation Based On","Adó kiszámítása"
"Tax Class for Shipping","Szállítás adó osztály"
"Tax Classes","Adó osztályok"
"Tax Identifier","Adóazonosító"
"Tax Rate","Adókulcs"
"Tax Rate Information","ÁFA érték információ"
"Tax Rule Information","ÁFA érték információ"
"Tax Rules","Adószabályok"
"Tax Section","Adó beállítások"
"Tax Titles","Adó címek"
"Tax rates at the same priority are added, others are compounded.","Az azonos prioritású adókulcsokat hozzáaduk, az egyéb kulcsokat kombináljuk."
"The tax rule has been deleted.","ÁFA szabály törölve."
"This class no longer exists","Ez az osztály nem létezik"
"This rule no longer exists","Ez a szabály nem létezik már."
"This rule no longer exists.","Ez a szabály már nem létezik."
"Total","Összesen"
"Unit Price","Egységár"
"Yes","Igen"
"You cannot delete this tax class as it is used for %d customer groups.","Ez az adó osztály nem törölhető amíg használatban van '%d' vevői csoport számára."
"You cannot delete this tax class as it is used for %d products.","Nem törölhető ez az adó osztály amíg használatban van %d termékeknél."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nem törölhető ez az adó osztály amíg használatban van az adó szabályoknál. Először a szabályt kell törölni amiben használatban van."
"Zip/Post Code","Irányítószám"
"Zip/Post is Range","Irányítószám tartomány"
