"# of Use","# χρήσης"
"%s Item(s)","%s Προϊόν(τα)"
"(Copy data from: %s)","(Αντιγραφή στοιχείων από: %s)"
"Backend Table","Πίνακας Backend"
"Backend Table Title","Τίτλος Πίνακα Backend"
"Backorders","Προπαραγγελίες"
"Based On","Με βάση το"
"Before Order Confirmation","Πριν από την επιβεβαίωση της παραγγελίας"
"Best Value","Καλύτερη Αξία"
"Block after Info Column","Τμήμα μετά τη Στήλη Πληροφοριών"
"Bottom/Left","Κάτω/Αριστερά"
"Bottom/Right","Κάτω/Δεξιά"
"Browse By","Εμφάνιση ανά"
"Bundle Items","Δέσμη στοιχείων"
"Cache Lifetime (Seconds)","Διάρκεια ζωής προσωρινής μνήμης cache (δευτερόλεπτα)"
"Can be used only with catalog input type Dropdown","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown, Πολλαπλή Επιλογή και Τιμή"
"Cancel","Άκυρο"
"Cart Item Attribute","Χαρακτηριστικό στοιχείου καλαθιού"
"Catalog","Κατάλογος"
"Catalog Category Link","Σύνδεσμος Κατηγορίας Καταλόγου"
"Catalog New Products List","Νέα Λίστα Καταλόγου Προϊόντων"
"Catalog Price Scope","Πεδίο Τιμής Καταλόγου"
"Catalog Product Link","Σύνδεσμος Καταλόγου Προϊόντων"
"Catalog Section","Ενότητα Καταλόγου"
"Catalog, Search","Κατάλογος, Αναζήτηση"
"Categories","Kατηγορίες"
"Categories Sitemap","Χάρτης ιστοχώρου Κατηγοριών"
"Category","Κατηγορία"
"Category Data","Δεδομένα Κατηγορίας"
"Category Flat Data","Επίπεδα Δεδομένα Κατηγορίας"
"Category Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Κατηγορίας"
"Category Link Inline Template","Πρότυπο Μπλοκ Εσωτερικού Συνδέσμου"
"Category Products","Προϊόντα Κατηγορίας"
"Category Top Navigation","Επάνω Πλοήγηση Καταλόγου"
"Category URL Suffix","Επίθεμα Κατηγορίας διεύθυνσης URL"
"Category move error","Σφάλμα Μετακίνησης Κατηγορίας"
"Center","Κέντρο"
"Change","Αλλαγή"
"Change status","Αλλαγή κατάστασης"
"Check items to add to the cart or","Έλεγχος στοιχείων για να προσθέσετε στο καλάθι ή"
"Choose an Option...","Επιλέξτε μια ενέργεια..."
"Clear All","Απαλοιφή Όλων"
"Clear Price","Σβήστε την Τιμή"
"Click for price","Κάντε κλικ για την τιμή"
"Close Window","Κλείσιμο Παραθύρου"
"Collapse All","Σύμπτυξη όλων"
"Comma-separated.","Διαχωρισμένες με κόμμα."
"Comparable","Συγκρίσιμο"
"Comparable on Front-end","Συγκρίσιμο στο Front-end"
"Compare","Σύγκριση"
"Compare Products","Σύγκριση Προϊόντων"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Configurable Product","Διαμορφώσιμο Προϊόν"
"Configurable Product Settings","Ρυθμίσεις Διαμορφώσιμων Προϊόντων"
"Configure Product","Ρύθμιση Προϊόντος"
"Continue","Συνέχεια"
"Copy From Configurable","Αντιγραφή από το Διαμορφώσιμο"
"Country/State","Χώρα/Κράτος"
"Create","Δημιουργία"
"Create Empty","Δημιουργία Κενού"
"Create Permanent Redirect for URLs if URL Key Changed","Δημιουργήστε Μόνιμη Ανακατεύθυνση για διευθύνσεις URL εάν αλλάξει το κλειδί διεύθυνσης URL"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Ανακατευθηνσης για την παλιά διεύθυνση URL"
"Create Product Settings","Ρυθμίσεις Δημιουργίας Προϊόντος"
"Create Simple Associated Product","Δημιουργία Απλού Σχετιζόμενου Προϊόντος"
"Cross-sells","Διασταυρούμενες-πωλήσεις"
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Custom Options","Προσαρμοσμένες επιλογές"
"Customer Group","Ομάδα Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tagged Product","Προϊόντα σημειωμένα με ετικέτα από Πελάτη"
"Data Type for Saving in Database","Ο Τύπος Δεδομένων για την Αποθήκευση στη Βάση Δεδομένων"
"Date & Time Custom Options","Προσαρμοσμένες Επιλογές Ημερομηνίας & Ώρας"
"Date Fields Order","Ταξινόμιση Πεδία Ημ/νίας"
"Date Subscribed","Ημερομηνία Εγγραφής"
"Datetime","Ημερομηνία/ώρα"
"Decimal","Δεκαδική"
"Declare attribute value saving scope","Δηλώστε εμβέλεια αποθήκευσης τιμής χαρακτηριστικού"
"Default ""What's This"" Text Message","Προεπιλεγμένο μήνυμα κειμένου ""Τί είναι αυτό"""
"Default Popup Text Message","Προεπιλεγμένο αναδυόμενο μήνυμα"
"Default Price","Προεπιλεγμένη Τιμή"
"Default Price Navigation Step","Βήμα Προεπιλεγμένης Τιμής Πλοήγησης"
"Default Qty","Προεπιλεγμένη Ποσότητα"
"Default Values","Προεπιλεγμένες τιμές"
"Delete","Διαγραφή"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Delete Attribute Set","Διαγραφή Συνόλου Χαρακτηριστικών"
"Delete Category","Διαγραφή Κατηγορίας"
"Delete Option","Διαγραφή Επιλογής"
"Delete Row","Διαγραφή γραμμής"
"Delete Search","Διαγραφή Αναζήτησης"
"Delete Selected Group","Διαγραφή της Επιλεγμένης Ομάδας"
"Delete Tier","Διαγραφή Βαθμίδας"
"Description","Περιγραφή"
"Design","Σχεδίαση"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Disallowed file type.","Μη επιτρεπόμενος τύπος αρχείου."
"Display Actual Price","Προβολή Πραγματικής Τιμής"
"Display Page Control","Προβολή Σελίδας Ελέγχου"
"Display Price Interval as One Price","Εμφανίζει το χρονικό διάστημα τιμών ως μία τιμή"
"Display Product Count","Καταμέτρηση Εμφάνισης Προϊόντων"
"Display Type","Τύπος Προβολής"
"Display in Suggested Terms","Οθόνη σε Προτεινόμενους Όρους"
"Double click on a group to rename it","Κάντε διπλό κλικ σε μια ομάδα για να τη μετονομάσετε"
"Downloadable Information","Πληροφορίες με Δυνατότητα Λήψης"
"Duplicate","Κλωνοποίηση"
"Duplicate amount found.","Διπλότυπο Ποσό βρέθηκε."
"Duplicate website tier price customer group and quantity.","Αντιγραφή ιστότοπου, τιμής πολλαπλών τεμαχίων, τιμής, πελάτη, ομάδας και ποσότητας."
"Edit","Επεξεργασία"
"Edit Attribute Set '%s'","Επεξεργασία Συνόλου Χαρακτηριστικών '%s'"
"Edit Product Attribute","Επεξεργαστείτε το χαρακτηριστικό του προϊόντος"
"Edit Product Attribute ""%s""","Επεξεργασία Χαρακτηριστικού Προϊόντος ""%s"""
"Edit Search","Επεξεργασία αναζήτησης"
"Edit Search '%s'","Επεξεργασία Αναζήτησης '%s'"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Empty","Κενό"
"Enable MAP","Ενεργοποίηση MAP"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Enabled","Ενεργό"
"Error during retrieval of option value: %s","Σφάλμα κατά την ανάκτηση της τιμής επιλογής: %s"
"Exclude","Εξαίρεση"
"Expand All","Ανάπτυξη όλων"
"Failed","Απέτυχε"
"Failed to move file: %s","Αποτυχία μετακίνησης αρχείου: %s"
"Feature Products","Προϊόντα υπό Παρουσίαση"
"Filter","Φίλτρο"
"Filterable (no results)","Φιλτράρισμα (χωρίς αποτελέσματα)"
"Filterable (with results)","Φιλτράρισμα (με αποτελέσματα)"
"First Name","Όνομα"
"Fixed","Σταθερή"
"For the last time placed.","Για την τελευταία φορά που τοποθετούνται."
"Frontend Model","Μοντέλο μπροστά μεριάς (Frontend)"
"Frontend Properties","Ιδιότητες Frontend"
"Gallery","Συλλογή φωτογραφιών"
"General Information","Γενικές Πληροφορίες"
"Global","Παγκόσμια"
"Globally Editable","Καθολικά Επεξεργάσιμο"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Grouped Product","Ομαδοποιημένο Προϊόν"
"Groups","Ομάδες"
"Home","Αρχική"
"Image","Εικόνα"
"Image type and information need to be specified for each store view.","Ο τύπος και οι πληροφορίες εικόνας πρέπει να προσδιοριστούν για κάθε όψη καταστήματος."
"In Cart","Στο Καλάθι"
"In Stock","Σε Απόθεμα"
"In stock","Σε απόθεμα"
"Incl. Tax","Με ΦΠΑ"
"Index product prices","Δείκτης τιμών των προϊόντων"
"Indexed category/products association","Ευρετήριο σύνδεσης κατηγορία/προϊόντα"
"Input Type","Τύπος εισόδου"
"Integer","Ακέραιος"
"Interval Division Limit","Όριο Διαστήματος Διαίρεσης"
"Invalid store specified","Προσδιορίστηκε άκυρο κατάστημα"
"Inventory","Απόθεμα"
"Is Default","Είναι Προεπιλογή"
"Is Required","Απαιτείται"
"Items %s to %s of %s total","Είδη %s εώς %s από %s στο σύνολο"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Αντικείμενα τα οποία δεν επιθυμείτε να εμφανίζονται στον κατάλογο ή στα αποτελέσματα αναζήτησης πρέπει να έχουν ως κατάσταση 'Απενεργοποιημένο' στο ζητούμενο κατάστημα."
"Label","Ετικέτα"
"Last Name","Επώνυμο"
"Last Notification","Τελευταία Ειδοποίηση"
"Layered Navigation","Πολυεπίπεδη Πλοήγηση"
"Learn More","Μάθετε Περισσότερα"
"Line %d, Email: %s","Γραμμή %d, Email: %s"
"Line %d, SKU: %s","Γραμμή %d, SKU: %s"
"Link to a Specified Category","Σύνδεσμος σε μια Συγκεκριμένη Κατηγορία"
"Link to a Specified Product","Σύνδεσμος σε ένα Συγκεκριμένο Προϊόν"
"List","Λίστα"
"List Mode","Λειτουργία Λίστας"
"List of Products that are set as New","Λίστα των Προϊόντων που ορίζονται ως Νέα"
"Manage Attribute Sets","Διαχειριστείτε τα σύνολα χαρακτηριστικών"
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Catalog Categories","Διαχείριση κατηγοριών καταλόγου"
"Manage Categories","Διαχειριστείτε τις κατηγορίες"
"Manage Label / Options","Διαχειριστείτε Ετικέτα / Επιλογές"
"Manage Options (values of your attribute)","Διαχείριση Επιλογών (τιμές των χαρακτηριστικών σας)"
"Manage Product Attributes","Διαχειριστείτε χαρακτηριστικά προϊόντος"
"Manage Product Sets","Διαχειριστείτε σύνολα προϊόντων"
"Manage Products","Διαχείριση Προϊόντων"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Manage Titles (Size, Color, etc.)","Διαχείριση τίτλων (Μέγεθος, Χρώμα, κ.λπ.)"
"Max Characters","Μέγιστοι Χαρακτήρες"
"Maximal Depth","Μέγιστο βάθος"
"Maximum Image Size","Μέγιστο μέγεθος εικόνας"
"Maximum Number of Price Intervals","Μέγιστος Αριθμός των Διαστημάτων Τιμής"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Maximum image height","Μέγιστο ύψος εικόνας"
"Maximum image width","Μέγιστο πλάτος εικόνας"
"Maximum number of characters:","Μέγιστος αριθμός χαρακτήρων:"
"Maximum number of price intervals is 100","Μέγιστος αριθμός των διαστημάτων τιμής είναι 100"
"Media Image","Εικόνα Μέσων"
"Minimum Advertised Price","Ελάχιστη τιμή διαφήμισης"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Minimum Qty for Item's Status to be Out of Stock","Ελάχιστη Ποσ. ώστε η κατάσταση προϊόντος να είναι 'Εκτός Αποθέματος'"
"More Views","Περισσοτερες Οψεις"
"Move","Μετακίνηση"
"Must be in the allowed values list.","Πρέπει να είναι στη λίστα επιτρεπόμενων τιμών."
"My Account","Ο Λογαριασμός μου"
"N/A","Μ/Δ Μή Διαθέσιμο"
"Name","Όνομα"
"New Product","Νέο προϊόν"
"New Product Attribute","Νέο Χαρακτηριστικό Προϊόντος"
"New Products","Νέα Προϊόντα"
"New Products Grid Template","Πρότυπο Πλέγματος Νέων Προϊόντων"
"New Products List Template","Πρότυπο Λίστας Νέων Προϊόντων"
"New Search","Νέα αναζήτηση"
"New Set Name","Νέο όνομα συνόλου"
"New products","Νέα προϊόντα"
"Next","Επόμενο"
"No","Όχι"
"No image","Καμία εικόνα"
"No layout updates","Δεν υπάρχουν ενημερωμένες εκδόσεις διάταξης"
"No options of this product are available.","Δεν υπάρχουν διαθέσιμες επιλογές για αυτό το προϊόν."
"None","Κανένα"
"Not Visible Individually","Δεν είναι ορατά ξεχωριστά"
"Notify Low Stock RSS","RSS Ειδοποίηση Χαμηλού Αποθέματος"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Number of Products per Page","Αριθμός των προϊόντων ανα Σελίδα"
"Number of Products to Display","Αριθμός των προϊόντων για Προβολή"
"Number of Uses","Αριθμός Χρήσεων"
"Number of results","Αριθμός αποτελεσμάτων"
"Number of results (For the last time placed)","Αριθμός των αποτελεσμάτων (για τελευταία φορά τοποθετήθηκαν)"
"OK","Οκ"
"OR","Ή"
"Old Price:","Παλαιά τιμή:"
"On Gesture","Σε Χειρονομία"
"Option:","Επιλογή:"
"Options","Επιλογές"
"Options Control","Έλεγχος Επιλογών"
"Options is required","Οι Επιλογές Απαιτούνται"
"Out of Stock","Εξαντλημένο"
"Out of stock","Εξαντλημένο"
"PM","Μ.Μ."
"Page Title Separator","Διαχωριστικό Τίτλου Σελίδας"
"Parent Category","Γονική Κατηγορία"
"Pending","Προς έγκριση"
"Pending Reviews RSS","Αξιολογήσεις σε Εκκρεμότητα RSS"
"Percentage","Ποσοστό"
"Please add rows to option.","Παρακαλώ προσθέστε γραμμές στην επιλογή."
"Please enter a new group name","Παρακαλούμε εισάγετε ένα νέο όνομα ομάδας"
"Please select one or more attributes.","Παρακαλούμε επιλέξτε ένα ή περισσότερα χαρακτηριστικά."
"Please select products for attributes update","Παρακαλούμε επιλέξτε προϊόντα για ενημέρωση χαρακτηριστικών"
"Please specify date required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ες) της ημερομηνίας."
"Please specify the number of products, that will not be divided into subintervals.","Παρακαλείστε να προσδιορίσετε τον αριθμό των προϊόντων, που δεν θα χωριστούν σε υποδιαστήματα."
"Please specify the quantity of product(s).","Παρακαλώ προσδιορίσετε την ποσότητα του(των) προϊόντος/ων."
"Please specify time required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ες) της ώρας."
"Please wait...","Παρακαλώ περιμένετε..."
"Position","Θέσης"
"Position in Layered Navigation","Θέση στην πολυεπίπεδη πλοήγηση"
"Position of attribute in layered navigation block","Θέση χαρακτηριστικού στο τμήμα πλοήγησης με Layers"
"Prev","Προηγ."
"Previous","Προηγούμενο"
"Price","Τιμή"
"Price Navigation Step Calculation","Υπολογισμός Τιμής Βήματος Πλοήγησης"
"Price Type","Τύπος Τιμής"
"Price values for options should be specified in system base currency.","Οι τιμές των αξιών στις επιλογές θα πρέπει να καθορίζονται στο βασικό νόμισμα του συστήματος."
"Price:","Τιμή:"
"Print This Page","Εκτύπωση αυτής της Σελίδας"
"Product","Προϊόν"
"Product Alerts","Ειδοποιήσεις Προϊόντος(ων)"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Product Attributes","Χαρακτηριστικά Προϊόντος"
"Product Categories","Κατηγορίες Προϊόντων"
"Product Description","Περιγραφή Προϊόντος"
"Product Flat Data","Επίπεδα Δεδομένα Προϊόντος"
"Product ID","ID Προϊόντος"
"Product Image Placeholders","Σύμβολα κράτησης θέσης Εικόνας Προϊόντος"
"Product Image Watermarks","Υδατογραφήματα Εικόνων Προϊόντος"
"Product In Websites","Προϊόν σε ιστοσελίδες"
"Product Info Column","Στήλη Πληροφοριών Προϊόντος"
"Product Information","Πληροφορίες Προϊόντος"
"Product Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Προϊόντος"
"Product Link Inline Template","Εσωτερικό Πρότυπο Συνδέσμου Προϊόντος"
"Product Listing Sort by","Ταξινόμηση Λίστας Προϊόντων κατά"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Product Type","Τύπος Προϊόντος"
"Product URL Suffix","Επίθεμα διεύθυνση URL προϊόντος"
"Product is not loaded","Το προϊόν δεν έχει φορτωθεί"
"Product with this combination of attributes already associated to configurable.","Προϊόν με αυτόν το συνδυασμό χαρακτηριστικών, είναι ήδη συνδεμένα σε ένα διαμορφώσιμο."
"Products","Προϊόντα"
"Products Comparison List","Λίστα Σύγκρισης Προϊόντων"
"Products Information","Πληροφορίες προϊόντων"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Products Sitemap","Χάρτης ιστοχώρου Προϊόντων"
"Products only","Προϊόντα μόνο"
"Products per Page on Grid Allowed Values","Προϊόντα ανά Σελίδα σε Επιτρεπόμενες Τιμές Πλέγματος"
"Products per Page on Grid Default Value","Προϊόντα ανά Σελίδα σε Προεπιλεγμένη Τιμή Πλέγματος"
"Products per Page on List Allowed Values","Προϊόντα ανά σελίδα στη Λίστα Επιτρεπόμενων Τιμών"
"Products per Page on List Default Value","Προϊόντα ανά σελίδα στη Λίστα Προεπιλεγμένης Τιμής"
"Properties","Ιδιότητες"
"Qty","Ποσότητα"
"Qty Increments","Προσαυξήσεις Ποσ."
"Qty Uses Decimals","Η Ποσ. χρησιμοποιεί δεκαδικά ψηφία"
"Qty:","Ποσότητα:"
"Quantity","Ποσότητα"
"Quick Create","Γρήγορη Δημιουργία"
"Quick Overview","Γρήγορη Επισκόπηση"
"Quick simple product creation","Γρήγορη δημιουργία απλού προϊόντος"
"Redirect","Αναδρομολόγηση"
"Redirect URL","Διεύθυνση URL ανακατεύθυνσης"
"Regular Price:","Κανονική Τιμή:"
"Related Products","Σχετικά Προϊόντα"
"Remove","Αφαίρεση"
"Remove Product From Websites","Αφαιρέστε το προϊόν από ιστοσελίδες"
"Remove This Item","Διαγραφή Αυτού του Είδους"
"Reorganize EAV category structure to flat structure","Αναδιοργάνωση δομής κατηγορίας EAV σε επίπεδη δομή"
"Reorganize EAV product structure to flat structure","Αναδιοργάνωση δομής προϊόντος EAV σε επίπεδη δομή"
"Reset","Επαναφορά"
"Results","Αποτελέσματα"
"Reviews","Αξιολογήσεις"
"Roll Over for preview","Βάλτε το κέρσορα από πάνω για προεπισκόπηση"
"Root","Ρίζα"
"SKU","Κωδικός"
"Save","Αποθήκευση"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Save Attribute Set","Αποθήκευση Συνόλου Χαρακτηριστικών"
"Save Category","Αποθήκευση Κατηγορίας"
"Save Search","Αποθήκευση Αναζήτησης"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Scope","Πεδίο εφαρμογής"
"Search","Αναζήτηση"
"Search Engine Optimizations","Βελτιστοποιήσεις Μηχανών Αναζήτησης(SEO)"
"Search Information","Πληροφορίες Αναζήτησης"
"Search Query","Ερώτημα αναζήτησης"
"Search Weight","Αναζήτηση Βάρους"
"Searchable","Αναζητήσιμο"
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"Select Category...","Επιλέξτε Κατηγορία..."
"Select Configurable Attributes ","Επιλογή Διαμορφώσιμων Χαρακτηριστικών "
"Select Product...","Επιλέξτε Προϊόν..."
"Select type options required values rows.","Επιλέξτε απαιτούμενες τιμές γραμμών τύπο επιλογών."
"Selected Product Types","Επιλεγμένοι Τύποι Προϊόντων"
"Send Count","Στείλτε Count"
"Set Ascending Direction","Ορίστε Αύξουσα Κατεύθυνση"
"Set Descending Direction","Φθίνουσα ταξινόμηση"
"Set Name","Όνομα Συνόλου"
"Set root category for this store in the <a href=""%s"">configuration</a>","Καθορίστε κατηγορίας βάσης για αυτό το κατάστημα στη <a href=""%s"">διαμόρφωση</a>"
"Settings","Ρυθμίσεις"
"Shop By","Αγορά κατά"
"Shopping Options","Επιλογες Αγορων"
"Show","Εμφάνιση"
"Show Details","Προβολή Λεπτομερειών"
"Simple Product","Απλό Προϊόν"
"Site Map","Χάρτης ιστότοπου"
"Sitemap","Χάρτης Ιστότοπου"
"Skip import row, is not valid value ""%s"" for field ""%s""","Προσπερνιέται η γραμμή εισαγωγής, δεν είναι έγκυρη η τιμή ""%s"" για το πεδίο ""%s"""
"Some of the selected item options are not currently available.","Μερικές από τις επιλογές του επιλεγμένου στοιχείου δεν είναι διαθέσιμες αυτή τη στιγμή."
"Sort By","Ταξινόμηση κατά"
"Sort Order","Σειρά Ταξινόμησης"
"Source Model","Μοντέλο Πηγής"
"Special Price:","Ειδική Τιμή:"
"Starting at:","Αρχίζει στα:"
"Static","Στατική"
"Static block and products","Στατικά μπλοκ και προϊόντα"
"Static block only","Στατικά μπλοκ μόνο"
"Status","Κατάσταση"
"Stock Availability","Διαθεσιμότητα"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Stretch","Τέντωμα"
"Subscribe to RSS Feed","Εγγραφείτε στο RSS Feed"
"Super product attributes configuration","Διαμόρφωση χαρακτηριστικών Super προϊόντος"
"Synonym For","Συνώνυμο Για"
"System Properties","Ιδιότητες συστήματος"
"Tag Name","Όνομα ετικέτας"
"Tax","Φόροι"
"Template","Πρότυπο"
"Text","Κείμενο"
"The base directory to upload file is not specified.","Ο Φάκελος βάσης για να ανεβάσετε το αρχείο δεν έχει καθοριστεί."
"The review was removed by another user or does not exist.","Η αξιολόγηση έχει αφαιρεθεί από κάποιον άλλο χρήστη ή δεν υπάρχει."
"There are no %s available.","Δεν υπάρχουν %s διαθέσιμα."
"There are no customers for this alert","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση"
"There are no customers for this alert.","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση."
"There are no products matching the selection.","Δεν υπάρχουν προϊόντα που να ταιριάζουν με την επιλογή."
"This attribute cannot be edited.","Αυτό το χαρακτηριστικό δεν μπορεί να επεξεργαστεί."
"This attribute is used in configurable products.","Το χαρακτηριστικό αυτό χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Το χαρακτηριστικό αυτό χρησιμοποιείται σε διαμορφώσιμα προϊόντα. Δεν μπορείτε να το καταργήσετε από το σύνολο χαρακτηριστικών."
"This attribute no longer exists","Αυτό το χαρακτηριστικό δεν υπάρχει πια"
"This attribute set no longer exists.","Αυτό το Σύνολο Χαρακτηριστικών δεν υπάρχει πλέον."
"This group contains system attributes. Please move system attributes to another group and try again.","Αυτή η ομάδα περιέχει χαρακτηριστικά συστήματος. Παρακαλώ μετακινήστε τα χαρακτηριστικά συστήματος σε άλλη ομάδα και προσπαθήστε ξανά."
"This search no longer exists.","Η αναζήτηση αυτή δεν υπάρχει πλέον."
"This setting will be applied when all prices in the specific price interval are equal.","Αυτή η ρύθμιση θα εφαρμοστεί όταν όλες οι τιμές στο συγκεκριμένο διάστημα τιμής είναι ίσες."
"Tier Pricing","Κλιμακωτή Τιμολόγηση"
"Tile","Πλακάκι"
"Time Format","Μορφή Ώρας"
"Title","Τίτλος"
"To see product price, add this item to your cart. You can always remove it later.","Για να δείτε την τιμή του προϊόντος, προσθέστε αυτό το προϊόν στο καλάθι σας. Μπορείτε να το αφαιρέσετε αργότερα."
"Top/Left","Πάνω/Αριστερά"
"Top/Right","Πάνω/Δεξιά"
"Type","Τύπος"
"URL Rewrite Management","Διαχείριση διευθύνσεων επανεγγραφών URL"
"Unassigned Attributes","Μη αντιστοιχισμένα χαρακτηριστικά"
"Up-sells","Πρόσθετες-πωλήσεις"
"Update","Ενημέρωση"
"Update Attributes","Ενημέρωση Χαρακτηριστικών"
"Update attributes","Ενημέρωση Χαρακτηριστικών"
"Use Canonical Link Meta Tag For Categories","Χρήση Μετα-Ετικέτας Κανονικού Σύνδεσμου για Κατηγορίες"
"Use Canonical Link Meta Tag For Products","Χρήση Μετα-Ετικέτας Κανονικού Σύνδεσμου για Προϊόντα"
