"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Number Viewed","Αριθμός Εμφανίσεων"
"Number of Items","Αριθμός ειδών"
"Number of New Accounts","Αριθμός Νέων Λογαριασμών"
"Number of Products to display","Αριθμός Προϊόντων για Προβολή"
"Number of Reviews","Αριθμός Αξιολογήσεων"
"Number of Total Tags","Αριθμός Συνολικών Ετικετών"
"Number of Unique Tags","Αριθμός Μοναδικών Ετικετών"
"Number of Views","Αριθμός Εμφανίσεων"
"Number of items bought from a wishlist: %s","Αριθμός προϊόντων αγορασμένα από τα επιθυμητά: %s"
"Number of times wishlists have been shared (emailed): %s","Αριθμός φορών που διαμοιράστηκαν λίστες επιθυμητών (emailed): %s"
"Number of wishlist conversions: %s","Αριθμός μετατροπων λίστας ειθυμητών: %s"
"Number of wishlist referrals: %s","Αριθμός παραπομπών λίστας επιθυμητών: %s"
"Number of wishlists: %s","Αριθμός λίστα επιθυμητών: %s"
"Order Status","Κατάσταση Παραγγελίας"
"Order Taxes Report Grouped by Tax Rate","Αναφορά φόρων παραγγελίας που ομαδοποιούνται ανά φορολογικό συντελεστή"
"Orders","Παραγγελίες"
"Out of stock","Εξαντλημένο"
"Period","Περίοδος"
"Poducts Report","Αναφορά Προϊόντων"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Popularity","Δημοτικότητα"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","SKU Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Ordered","Προϊόντα που παραγγέλθηκαν"
"Products Report","Έκθεση προϊόντων"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Products Tags","Ετικέτες Προϊόντων"
"Products in carts","Προϊόντα σε καλάθια"
"Purchases","Αγορές"
"Quantity Ordered","Ποσότητα Παραγγελθέντων"
"Quantity of Items","Ποσότητα Προϊόντων"
"Recently Compared","Πρόσφατα Συγκρίθηκαν"
"Recently Compared Products","Πρόσφατα Συγκριθέντα Προϊόντα"
"Recently Viewed","Είδατε Πρόσφατα"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"Recently Viewed/Compared Products","Πρόσφατα Προβληθέντα/Συγκριθέντα Προϊόντα"
"Refresh Lifetime Statistics","Ανανέωση Στατιστικών Διάρκειας Ζωής"
"Refresh Statistics","Ανανέωση Στατιστικών"
"Refresh Statistics for the Last Day","Ανανέωση των Στατιστικών για την Τελευταία Ημέρα"
"Refunds","Επιστροφές"
"Report","Αναφορά"
"Reports","Αναφορές"
"Results","Αποτελέσματα"
"Revenue","Έσοδα"
"Review","Αξιολόγηση"
"Reviews","Αξιολογήσεις"
"Reviews for %s","Αξιολογήσεις για %s"
"Sales","Πωλήσεις"
"Sales Report","Έκθεση πωλήσεων"
"Search Query","Ερώτημα αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Select day of the month.","Επιλέξτε την ημέρα του μήνα."
"Shipping","Μεταφορικά"
"Shopping Cart","Καλάθι"
"Shopping Cart Price Rule","Κανόνας Τιμής του Καλαθιού Αγοράς"
"Show Actual Values","Εμφάνιση πραγματικών τιμών"
"Show Report","Παρουσίαση έκθεσης"
"Show for Current","Προβολή για Τρέχον"
"Specified","Καθορίστηκαν"
"Statistics","Στατιστικά στοιχεία"
"Stock Qty","Ποσ. Αποθέματος"
"Submitted In","Υποβλήθηκε Στο"
"Submitted On","Υποβλήθηκε Την"
"Subtotal","Υποσύνολο"
"Tag","Ετικέτα"
"Tag ""%s"" details","Λεπτομέρειες ετικέτας ""%s"""
"Tag Detail","Λεπτομέρειες Ετικέτας"
"Tag Name","Όνομα ετικέτας"
"Tags submitted to %s","Ετικέτες που υποβλήθηκαν στο %s"
"Tax","Φόροι"
"Title","Τίτλος"
"To","Έως"
"Total","Σύνολο"
"Total Invoiced vs. Paid Report","Έκθεση Σύνολου Τιμολογημένων έναντι πληρωμένων"
"Total Ordered Report","Έκθεση Συνολικών Παραγγελθέντων"
"Total Refunded Report","Έκθεση Συνολικών Επιστροφών"
"Total Shipped Report","Έκθεση Συνολικών Αποσταλθέντων"
"Total Tags","Σύνολο Ετικετών"
"Total invoiced","Σύνολο τιμολογήσεων"
"Total refunded","Σύνολο επιστροφής χρημάτων"
"Updated At","Ενημερώθηκε στις"
"Viewed Products Grid Template","Πρότυπο Πλέγματος Προβληθέντων Προϊόντων"
"Viewed Products List Template","Πρότυπο Λίστας Προβληθέντων Προϊόντων"
"Visible In","Ορατό Στο"
"Wishlist Report","Αναφορά Λίστας Επιθυμητών"
"Wishlist vs. Regular Order","Επιθυμητά έναντι Κανονικών Παραγγελιών"
"Wishlists","Λίστες Επιθυμητών"
"Year","Έτος"
"Year-To-Date Starts","Έτος-Σε-Ημερομηνία Έναρξη"
"Yes","Ναί"
"Your Recently Compared","Οι Πρόσφατες Συγκρίσεις σας"
"Your Recently Viewed","Οι Πρόσφατες Εμφανίσεις σας"
