"* Required Fields","* Obligatoriska fält"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Move","Flytta"
"My Account","Mitt konto"
"N/A","Ej tillgängligt"
"Name","Namn"
"New Product","Ny produkt"
"New Product Attribute","Nytt produktattribut"
"New Products","Nya produkter"
"New Products Grid Template","Nya produkter tabell-mall"
"New Products List Template","Nya produkter list-mall"
"New Search","Ny sökning"
"New Set Name","Nytt set namn"
"New products","Nya produkter"
"Next","Nästa"
"No","Nej"
"No image","Ingen bild"
"No layout updates","Inga layout uppdateringar"
"No options of this product are available.","Det finns inget alternativ för denna produkt."
"None","Inga"
"Not Visible Individually","Syns inte individuellt"
"Notify Low Stock RSS","Notifikation lågt lagersaldo RSS"
"Notify for Quantity Below","Notifiera för antal under"
"Number of Products per Page","Produkter per sida"
"Number of Products to Display","Produkter att visa"
"Number of Uses","Antal användningar"
"Number of results","Antal träffar"
"Number of results (For the last time placed)","Antal resultat (För senaste placeringen)"
"OK","Ok"
"On Gesture","På gest"
"Options","Alternativ"
"Out of Stock","Ej i lager"
"Out of stock","Ej i lager"
"PM","EM"
"Page Title Separator","Avgränsare för sidrubrik"
"Parent Category","Överordnad kategori"
"Pending","Väntar"
"Please add rows to option.","Lägg till rader till valet."
"Please specify date required option(s).","Vänligen ange datum."
"Please specify the quantity of product(s).","Vänligen välj antalet produkter."
"Please specify time required option(s).","Ange tid."
"Please wait...","Var god vänta..."
"Position","Plats"
"Position in Layered Navigation","Position i Filternavigering"
"Prev","Föregående"
"Previous","Föregående"
"Price","Pris"
"Price Navigation Step Calculation","Pris Navigation stegberäkning"
"Price Type","Pristyp"
"Price:","Pris:"
"Print This Page","Skriv ut denna sida"
"Product","Produkt"
"Product Alerts","Produktmeddelanden"
"Product Attribute","Produktattribut"
"Product Attributes","Produktattribut"
"Product Categories","Produktkategorier"
"Product Flat Data","Flat produktdata"
"Product ID","Produkt-id"
"Product Image Placeholders","Produkt bildplaceholders"
"Product Image Watermarks","Produktbild vattenstämplar"
"Product In Websites","Produkt i webbplatser"
"Product Info Column","Produktinformationskolumn"
"Product Link Block Template","Produktlänk blockmall"
"Product Link Inline Template","Produktlänk inline-mall"
"Product Listing Sort by","Produktnotering sortera efter"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product URL Suffix","Produkt URL-Suffix"
"Product is not loaded","Produkten är inte laddad."
"Products","Produkter"
"Products Comparison List","Produkter jämförelselista"
"Products Information","Produkt information"
"Products Reviews","Produktrecensioner"
"Products only","Endast produkter"
"Products per Page on Grid Allowed Values","Produkter per sida i tabellen av tillåtna värden"
"Products per Page on Grid Default Value","Produkter per sida på produktkategorisidan"
"Products per Page on List Allowed Values","Produkter per sida på listan av tillåtna värden"
"Products per Page on List Default Value","Produkter per sida på listan för standardvärde"
"Properties","Egenskaper"
"Qty","Antal"
"Qty Increments","Antal steg"
"Qty Uses Decimals","Antal använder decimaler"
"Qty:","Antal:"
"Quantity","Antal"
"Redirect URL","Omdirigerings-URL"
"Related Products","Relaterade produkter"
"Remove","Ta bort"
"Remove Product From Websites","Ta bort produkten från webbplatser"
"Remove This Item","Ta bort Denna Artikel"
"Reorganize EAV category structure to flat structure","Omorganisera EAV kategoristruktur till ""flat"" struktur"
"Reorganize EAV product structure to flat structure","Omorganisera EAV produktstrukturen till ""flat"" struktur"
"Reset","Återställ"
"Results","Resultat"
"Reviews","Recensioner"
"Root","Rot"
"SKU","Art.nr"
"Save","Spara"
"Save Attribute","Spara attribut"
"Save Search","Spara sökning"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Scope","Omfattning"
"Search","Sök"
"Search Information","Sökinformation"
"Search Query","Sökterm"
"Search Weight","Sök vikt"
"Searchable","Sökbar"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Select Category...","Välj kategori..."
"Select Product...","Välj produkt..."
"Select type options required values rows.","Vald typ kräver värderader."
"Set Ascending Direction","Sätt stigande sortering"
"Set Descending Direction","Sätt fallande sortering"
"Settings","Inställningar"
"Shop By","Handla enligt"
"Shopping Options","Shoppingalternativ"
"Show","Visa"
"Some of the selected item options are not currently available.","Några av de markerade objektalternativ är ej tillgängliga."
"Sort By","Sortera på"
"Sort Order","Sorteringsordning"
"Static block and products","Statiska block och produkter"
"Static block only","Endast statiska block"
"Stock Availability","Tillgänglighet"
"Store","Butik"
"Store View","Butiksvy"
"Stretch","Utvidga"
"Subscribe to RSS Feed","Prenumerera på RSS flöde"
"System Properties","System egenskaper"
"Tax","Skatt"
"Template","Mall"
"There are no customers for this alert.","Det finns inga kunder för denna notifiering "
"This attribute cannot be edited.","Detta attribut kan inte redigeras."
"This attribute is used in configurable products.","Detta attribut används i konfigurerbara produkter."
"This attribute set no longer exists.","Detta attribut existerar inte längre."
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattribut till en annan grupp och försök igen."
"This search no longer exists.","Denna sökning finns inte längre."
"This setting will be applied when all prices in the specific price interval are equal.","Den här inställningen tillämpas när alla priser i det specifika kursintervallet är lika."
"Tier Pricing","Tier prissättning"
"Tile","Över hela"
"Time Format","Tidsformat"
"Title","Titel"
"To see product price, add this item to your cart. You can always remove it later.","Lägg till varan i kundvagnen för att se produktpriser. Du kan alltid ta bort den senare."
"Top/Left","Top/Vänster"
"Top/Right","Top/Höger"
"Type","Typ"
"Unassigned Attributes","Otilldelade attribut"
"Up-sells","Merförsäljning"
"Update","Uppdatera"
"Update Attributes","Uppdatera attribut"
"Update attributes","Uppdatera attribut"
"Use Canonical Link Meta Tag For Categories","Använda kanonisk länk Meta-taggen för kategorier"
"Use Canonical Link Meta Tag For Products","Använda kanonisk länk Meta-taggen för produkter"
"Use Categories Path for Product URLs","Använd kategoriernas URL för produktens URLer"
"Use Config Settings","Använd konfigurationsinställningarna"
"Use Default Value","Använd standardvärde"
"Use Flat Catalog Category","Använd ""Flat Catalog Category"""
"Use Flat Catalog Product","Använd ""Flat Catalog Product"""
"Use JavaScript Calendar","Använd JavaScript kalender"
"Use config","Använda inställningar"
"Use for Promo Rule Conditions","Använd för kampanjreglernas villkor"
"Use in Layered Navigation","Användning i Filternavigering"
"Used for Sorting in Product Listing","Används för sortering i produktlistan"
"Used in Product Listing","Använd i produktlistningen "
"View Details","Visa detaljer"
"View as","Visa som"
"Visibility","Synlighet"
"Visible","Synlig"
"WYSIWYG Editor","Wysiwyg-redigerare"
"Website","Webbplats"
"Websites","Webbplatser"
"What's this?","Vad är detta?"
"Year Range","Årsintervall"
"Yes","Ja"
"You have no items to compare.","Du har inga artiklar att jämföra."
"and above","och över"
"per page","per sida"
"save","spara"
"select all","välj alla"
"unselect all","avmarkera alla"
