"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten uit uw vergelijking wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit artikel wilt verwijderen van vergelijklijst?"
"Are you sure?","Weet u het zeker?"
"As low as:","Slechts"
"Assign","Toewijzen"
"Assign product link","Productlink toewijzen"
"Assign product to category","Product aan categorie toewijzen"
"Assigned Products","Toegewezen producten"
"Associated Products","Gerelateerde producten"
"Attrib. Set Name","Attributenset"
"Attribute Information","Attribuutinformatie"
"Attribute Model","Attribuutmodel"
"Attribute Name:","Attribuutnaam:"
"Attribute Set","Attributenset"
"Attribute Sets","Attribuut-sets"
"Attribute group with the ""/name/"" name already exists","Attributengroep met de naam name/""bestaat al"
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al"
"Attributes","Attributen"
"Attrribute names can be specified per store.","Attribuutnamen kunnen per winkel opgegeven worden."
"Autogenerate","Automatisch genereren"
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Backend Model","Backend-model"
"Backend Table","Backend-tabel"
"Backend Table Title","Titel backend-tabel"
"Backorders","Nabestellingen"
"Based On","Gebaseerd Op"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Best Value","Beste waarde"
"Block after Info Column","Blok na info-kolom"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Browse By","Blader door"
"Bundle Items","Bundel-artikelen"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown, Multiple select en Prijs"
"Can't create image.","Kan geen afbeelding maken"
"Cancel","Annuleer"
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog Category Link","Catalogus Categorie Link"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Product Link","Catalogus Producten Link"
"Catalog Section","Catalogus sectie"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorieën"
"Categories Sitemap","Sitemap categorie&euml;n"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categoriegegevens"
"Category Flat Data","Categorieën Flat Data"
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL achtervoegsel"
"Category attributes API","API categorie-attributen"
"Category move error","Categorie verplaatsfout"
"Center","Centreer"
"Change","Verander"
"Change or Retrieve attribute store view","Attribuut winkelzicht wijzigen of ophalen"
"Change status","Verander status"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"Choose an Option...","Kies een optie..."
"Clear All","Alles wissen"
"Clear Price","Prijs verwijderen"
"Click for price","Klik voor de prijs"
"Close Window","sluit venster"
"Collapse All","Alles inklappen"
"Comma-separated.","gescheiden door een komma"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar in front-end"
"Compare","Vergelijken"
"Compare Products","Producten vergelijken"
"Conditions Combination","Voorwaardencombinatie"
"Configurable Product","Configureerbaar product"
"Configurable Product Settings","Instellingen configureerbaar product"
"Configure Product","Configureer product"
"Continue","Doorgaan"
"Copy From Configurable","Kopi&euml;ren van configureerbare"
"Country/State","Land/Provincie"
"Create","Creëren"
"Create (Upload)","Aanmaken (Upload)"
"Create Empty","Aanmaken lege"
"Create Permanent Redirect for URLs if URL Key Changed","Maak een permanente URL-verwijzing aan voor URLs als de URL-key veranderd"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Create Product Settings","Productinstellingen aanmaken"
"Create Simple Associated Product","Verbonden eenvoudige product aanmaken"
"Create new category","Nieuwe categorie aanmaken"
"Create new product","Nieuw product aanmaken"
"Cross-sells","Kruis-verkopen"
"Custom Design","Eigen design"
"Custom Options","Eigen opties"
"Customer Group","Klantengroep"
"Customers Reviews","Klanten-reviews"
"Customers Tagged Product","Tags van klanten"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Date Fields Order","Veld volgorde"
"Date Subscribed","Datum inschrijving"
"Datetime","Datum / tijd"
"Decimal","Decimaal"
"Declare attribute value saving scope","Attribuaatwaarde opgeven voor opslaan van scope"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default Popup Text Message","Standaard popup bericht"
"Default Price","Standaard-prijs"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Default Qty","Standaard-aantal"
"Default Values","standaardwaarden"
"Delete","Verwijder"
"Delete Attribute","Verwijder attribuut"
"Delete Attribute Set","Attributenset verwijderen"
"Delete Category","Categorie verwijderen"
"Delete Option","Verwijder optie"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Delete Tier","Verwijder staffel"
"Delete category","Categorie verwijderen"
"Delete product","Product verwijderen"
"Description","Omschrijving"
"Design","Ontwerp"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Display Actual Price","Toon werkelijke prijs"
"Display Page Control","Toon paginering"
"Display Price Interval as One Price","Toon prijs-stap als één prijs"
"Display Product Count","Toon aantal producten"
"Display Type","Weergave modus"
"Display in Suggested Terms","Voorgestelde termen weergeven"
"Double click on a group to rename it","Dubbelklik op een groep om te hernoemen"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor groot formaat"
"Downloadable Information","Downloadbare informatie"
"Duplicate","Dupliceren"
"Duplicate amount found.","Duplicaat bedrag gevonden"
"Duplicate website tier price customer group and quantity.","Dubbele staffel op website voor klantengroep en aantal"
"Duplicate website, country and state tax found.","Dubbele website, land en BTW gevonden"
"Edit","Bewerken"
"Edit Attribute Set '%s'","Attributenset '%s' wijzigen"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Product Attribute ""%s""","Productattribuut  ""%s"" wijzigen"
"Edit Search","Zoekactie wijzigen"
"Edit Search '%s'","Zoekactie '%s' wijzigen"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"Empty","Leeg"
"Enable MAP","MAP (minimaal geadverteerde prijs) inschakelen"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Enabled","Ingeschakeld"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to move file: %s","Verplaatsen van bestand %s is mislukt"
"Feature Products","Kenmerk producten"
"Filter","Filteren"
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"First Name","Voornaam"
"Fixed","Vast"
"For the last time placed.","Voor de laatste keer geplaatst."
"Frontend","Front-end"
"Frontend Model","Frontend model"
"Frontend Properties","Eigenschappen front-end"
"Gallery","Gallerij"
"General Information","Algemene informatie"
"Get special price","Haal aanbiedingsprijs op"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar homepagina"
"Grid","Foto-tabel"
"Grouped Product","Gegroepeerd product"
"Groups","Groepen"
"Image","Beeld"
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64 gegevens"
"Image type and information need to be specified for each store view.","Afbeeldings-type en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"In Cart","In winkelwagen"
"In Stock","Op voorraad"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Index product prices","Productprijzen"
"Indexed category/products association","Categorieën/product-koppeling"
"Input Type","Invoertype"
"Interval Division Limit","Interval deellimiet"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid store specified","Ongeldige winkel opgegeven"
"Inventory","Assortimentsbeheer"
"Is Default","Is standaard"
"Is Required","Is Vereist"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikelen die u niet wilt tonen in de catalogus of zoekresultaten, geeft u de status 'Uitgeschakeld' in de betreffende winkel"
"Label","label"
"Last Name","Achternaam"
"Last Notification","Laatste melding"
"Layered Navigation","Gelaagde navigatie"
"Learn More","Lees verder"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Line %d, SKU: %s","Regel %d, artikelnr: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwant, Up-selling, Cross-selling)"
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"List","Lijst"
"List Mode","Lijstweergave"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"Manage Attribute Sets","Beheer attributensets"
"Manage Attributes","Beheer attributen"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"Manage Label / Options","Beheer Label/Opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productensets"
"Manage Products","Beheer producten"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale Diepte"
"Maximum Image Size","Maximum grootte afbeelding"
"Maximum Number of Price Intervals","Maximaal aantal prijsintervallen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum image width","Maximum breedte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"Maximum number of price intervals is 100","Maximaal aantal prijsintervallen is 100"
"Media Image","Media-afbeelding"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Minimum Qty for Item's Status to be Out of Stock","Grens-aantal voor status ""Niet in voorraad"""
"More Views","Meer afbeeldingen"
"Move","Verplaats"
"Move category in tree","Categorie verplaatsen in menu"
"My Account","Account"
"N/A","n.v.t."
"Name","Naam"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe set-naam"
"New products","Nieuwe producten"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen lay-out-updates"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"None","Geen"
"Not Visible Individually","Niet individueel zichtbaar"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"Number of Uses","Aantal keer gebruikt"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (voor de laatste keer geplaatst)"
"OK","Oké"
"OR","OF"
"Old Price:","Oude prijs:"
"On Gesture","Op gebaar"
"Option:","Optie:"
"Options","Opties"
"Options Control","Beheer opties"
"Options is required","Opties is verplicht"
"Out of Stock","Niet op voorraad"
"Out of stock","Niet op voorraad"
"Page Title Separator","Scheidingsteken paginatitel"
"Parent Category","Hogere categorie"
"Pending","In afwachting"
"Pending Reviews RSS","RSS van wachtende reviews"
"Please add rows to option.","Voeg rijen toe aan optie."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Voorzichtig! Zodra u op een rij klikt, worden de pakketgegevens van het geselecteerde bestand geladen en gaan alle formuliergegevens die niet zijn opgeslagen, verloren!"
"Please enter a new group name","Geef een nieuwe groepnaam op a.u.b."
"Please select one or more attributes.","Selecteer een of meer attributen a.u.b."
"Please select products for attributes update","Selecteer producten voor attributen-update a.u.b."
"Please specify date required option(s).","Geef de verplichte datumoptie(s) op."
"Please specify the number of products, that will not be divided into subintervals.","Geef het aantal producten op, welke niet in deelintervallen verdeeld zullen worden."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the quantity of product(s).","Specificeer het aantal producten a.u.b."
"Please specify time required option(s).","Geef de verplichte tijdoptie(s) op."
"Please wait...","Even geduld..."
"Position","Positie"
"Position in Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagde-navigatieblok"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price Navigation Step Calculation","Prijsweergave (stappen)"
"Price Type","Prijstype"
"Price values for options should be specified in system base currency.","Prijzen voor opties moeten worden opgegeven in de basis-valuta"
"Price:","Prijs:"
"Print This Page","Print deze pagina"
"Product API","Product-API"
"Product Alerts","Product-notificaties"
"Product Attribute","Product-attribuut"
"Product Attributes","Productkenmerken"
"Product Categories","Productcategorieën"
"Product Description","Productbeschrijving"
"Product Flat Data","Product platte data"
"Product ID","Product-ID"
"Product Image Placeholders","Placeholder voor productafbeelding"
"Product Image Watermarks","Watermerken voor productafbeelding"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Information","Productgegevens"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
"Product Listing Sort by","Productlijst sorteren op"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Product Tags","Eigen tags"
"Product Tier Price API","Product Staffelprijs API"
"Product Type","Producttype"
"Product URL Suffix","Product URL achtervoegsel"
"Product attribute sets API","Productattrubuten-sets API"
"Product attributes API","Productattributen API"
"Product is not loaded","Product is niet geladen"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Product types API","Producttypen API"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Products","Producten"
"Products Comparison List","Product vergelijk-lijst"
"Products Information","Gegevens producten"
"Products Reviews","Reviews"
"Products Sitemap","Sitemap van producten"
"Products only","Alleen producten"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Properties","Kenmerken"
"Qty","Aantal"
"Qty Increments","Opklimmend aantal"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Qty:","Aantal:"
"Quantity","Aantal"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Redirect","Doorsturen"
"Redirect URL","Doorverwijs URL"
"Regular Price:","Normale prijs:"
"Related Products","Gerelateerde producten"
"Remove","Verwijder"
"Remove Product From Websites","Product van websites verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove product assignment","Productkoppeling verwijderen"
"Remove product image","Productafbeelding verwijderen"
"Remove product link","Productlink  verwijderen"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Reset","Resetten"
"Results","Resultaten"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Retrieve attribute list","Attributenlijst ophalen"
"Retrieve attribute options","Attribuutopties ophalen"
"Retrieve categories tree","Boom categorieën ophalen"
"Retrieve category attributes","Categorie-attributen ophalen"
"Retrieve category data","Categoriegegevens ophalen"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Retrieve linked products","Haal gekoppelde producten op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau  van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Retrieve product","Product ophalen"
"Retrieve product attribute sets","Productattributen ophalen"
"Retrieve product image","Productafbeelding ophalen"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Retrieve product link types","Product-linktypen ophalen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Retrieve product types","Producttypen ophalen"
"Retrieve products data","Productgegevens ophalen"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Roll Over for preview","Mouse-over toont beeld"
"Root","Hoofd (root)"
"SKU","Art.nr."
"Save","Opslaan"
"Save Attribute","Attribuut Opslaan"
"Save Attribute Set","Attributenset opslaan"
"Save Category","Categorie opslaan"
"Save Search","Zoekopdracht opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Scope","Bereik"
"Scope must not be changed, because the attribute is used in configurable products.","Scope mag niet worden gewijzigd omdat het attribuut gebruikt wordt in configureerbare producten."
"Search","Zoek"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Search Information","Zoekinformatie"
"Search Query","Zoekterm"
"Search Weight","Zoekgewicht"
"Searchable","Doorzoekbaar"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Select Category...","Selecteer categorie..."
"Select Product...","Selecteer product..."
"Select type of option","Type-optie selecteren"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Selected Product Types","Producttypen selecteren"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Name","Naam instellen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set special price","Aanbiedingprijs instellen"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"Settings","Instellingen"
"Shop By","Filteren"
"Shopping Options","Selectie verfijnen"
"Show","Weergeven"
"Show Details","Toon Details"
"Show Tags","Tags tonen"
"Simple Product","Simpel product"
"Site Map","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla importeren van rij over, “%s” is geen geldige waarde voor veld “%s”"
"Some of the selected item options are not currently available.","Sommige van de geselecteerde item-opties zijn op dit moment niet beschikbaar"
"Sort By","Sorteer op"
"Sort Order","Sorteervolgorde"
"Source Model","Bron model"
"Special Price:","Speciale prijs:"
"Starting at:","Beginnend op:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","status"
"Stock Availability","Beschikbaarheid voorraad"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Stretch","Uitrekken"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Super product attributes configuration","Configuratie super-productattributen"
"Synonym For","Synoniem voor"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag-naam"
"Tax","BTW"
"Template","Sjabloon"
"Text","Tekst"
"The base directory to upload file is not specified.","De basisfolder om het bestand te uploaden is niet opgegeven."
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"There are no %s available.","Er is geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"There are no products matching the selection.","Er komen geen producten overeen met de selectie."
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet van de attributenset verwijderen."
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw."
"This search no longer exists.","Deze zoekopdracht bestaat niet meer"
"This setting will be applied when all prices in the specific price interval are equal.","Deze instelling wordt toegepast wanneer alle prijzen in het specifieke prijsinterval gelijk zijn."
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time Format","Tijdsformaat"
"Title","Titel"
"To see product price, add this item to your cart. You can always remove it later.","Om de prijs van het product te zien, voeg dit product toe aan uw winkelwagen. U kunt het later altijd verwijderen."
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Total Qty Base Items","Totaal aantal basis-artikelen"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Type","Soort"
"URL Rewrite Management","URL-herschrijf beheer"
"Unassigned Attributes","Niet-toegewezen attributen"
"Up-sells","verkoop van duurdere producten"
"Update","Bijwerken"
"Update Attributes","Attributen bijwerken"
"Update Tier Price","Staffelprijs bijwerken"
"Update assigned product","Toegewezen product updaten"
"Update attributes","Atttributen bijwerken"
"Update category","Categorie updaten"
"Update product","Product updaten"
"Update product image","Productafbeelding updaten"
"Update product link","Productlink updaten"
"Update product tier prices","Staffelprijzen product updaten"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Use Categories Path for Product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use Config Settings","Gebruik configuratiewaarden"
"Use Default Value","Gebruik standaard waarde"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Use config","Gebruik configuratie"
"Use default","Gebruik standaard"
"Use for Promo Rule Conditions","Gebruik voor promotieregels"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën"
"Used in Product Listing","Te gebruiken in categorieën"
"View Details","Bekijk details"
"View as","Tonen als"
"Virtual Product","Virtueel product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in front-end"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Watermerk"
"Watermark Default Size","Standaard-grootte van watermerk"
"Watermark Position","Plaats van watermerk"
"We Also Recommend","Ook aanbevolen"
"What's this?","Wat is dit?"
"Year Range","Jaar"
"Yes","Ja"
"You cannot remove system attribute from this set.","U kunt dit systeem-attribuut niet verwijderen uit deze set."
"You have no items to compare.","Geen producten geselecteerd."
"You may also be interested in the following product(s)","U bent wellicht ook ge&iuml;nteresseerd in de volgende producten:"
"You saved the search term.","U hebt de zoekterm opgeslagen."
"Zoom In","Inzoomen"
"Zoom Out","Uitzoomen"
"and","en"
"and above","en hoger"
"categories","Categorie&euml;n"
"each","elk"
"ex. http://domain.com","bijv. http://domein.nl"
"per page","per pagina"
"products","producten"
"save","bewaar"
"select all","alles selecteren"
"unselect all","alles deselecteren"
