"-- Please Select --","-- Vyberte --"
"Add New Class","Přidat novou třídu"
"Tax Rate Information","Údaje sazby"
"Tax Rule Information","Údaje pravidla"
"Tax Rules","Daňová pravidla"
"Tax Titles","Název DPH"
"Tax rates at the same priority are added, others are compounded.","Sazby DPH ve stejné prioritě se přidávají, ostatní se kombinují."
"The tax rate has been imported.","Sazby DPH byly importovány."
"The tax rule has been deleted.","Pravidlo DPH byla odstraněno."
"This class no longer exists","Tato třída již nadále neexistuje"
"This rule no longer exists","Tato pravidlo již dlouho neexistuje"
"This rule no longer exists.","Toto pravidlo již neexistuje."
"Total","Celkem"
"Unit Price","Cena za kus"
"Yes","Ano"
"You cannot delete this tax class as it is used for %d customer groups.","Nelze smazat tuto třídu protože je používána pro %d zákaznickou skupinu."
"You cannot delete this tax class as it is used for %d products.","Nelze smazat tuto třídu, protože je používána pro %d produkty."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nelze smazat tuto třídu, protože je používána v daňových pravidlech. Smažte nejprve pravidla."
"Zip/Post Code","PSČ"
"Zip/Post is Range","PSČ je rozsahem"
