"* Required Fields","* Kohustuslikud väljad"
"Create Permanent Redirect for URLs if URL Key Changed","Loo alaline ümbersuunamine URL'dele kui URL'i väärtus muutub"
"Create Permanent Redirect for old URL","Luua permanentne ümbersuunamine vana URL'i jaoks"
"Cross-sells","Lisamüük"
"Custom Design","Kujunduse kohandus"
"Custom Options","Kohandatud valikud"
"Customer Group","Kliendigrupp"
"Customers Reviews","Klientide arvustused"
"Data Type for Saving in Database","Andmete tüüp andmebaasi salvestamiseks"
"Datetime","Kuupäev-kellaaeg"
"Decimal","Kümnendkohtade arv"
"Default Price","Vaikehind"
"Default Values","Vaikeväärtused"
"Delete","Kustuta"
"Delete Attribute","Kustuta atribuut"
"Delete Option","Kustuta valik"
"Delete Row","Kustuta rida"
"Delete Search","Otsingu kustutamine"
"Delete Selected Group","Kustuta valitud grupp"
"Description","Kirjeldus"
"Design","Kujundus"
"Details","Üksikasjad"
"Disabled","Keelatud"
"Display Actual Price","Näita tegelikku hinda"
"Display Product Count","Kuva toodete kogus"
"Display Type","Kuvatav tüüp"
"Downloadable Information","Allalaaditav teave"
"Edit","Muuda"
"Edit Product Attribute","Muuda tooteatribuuti"
"Edit Search","Muuda otsingut"
"Email","E-post"
"Email to a Friend","Saada sõbrale"
"Empty","Tühi"
"Enable Qty Increments","Luba kogusesamme"
"Enabled","Lubatud"
"Exclude","Välista"
"Expand All","Ava kõik"
"Failed","Nurjus"
"Filterable (no results)","Filtreeritav (tulemusteta)"
"Filterable (with results)","Filtreeritav (tulemustega)"
"First Name","Eesnimi"
"Fixed","Fikseeritud"
"Gallery","Galerii"
"General Information","Üldinfo"
"Global","Globaalne"
"Globally Editable","Globaalselt muudetav"
"Go to Home Page","Avalehele"
"Grid","Ruudustik"
"Groups","Grupid"
"Home","Avaleht"
"Image","Pilt"
"In Cart","Ostukorvis"
"In Stock","Laos"
"In stock","Laos"
"Incl. Tax","Koos maksuga"
"Input Type","Sisendi tüüp"
"Integer","Täisarv"
"Inventory","Ladu"
"Is Default","On vaikeväärtus"
"Is Required","On nõutud"
"Last Name","Perekonnanimi"
"Layered Navigation","Tootefilter"
"Learn More","Tutvu lähemalt"
"List","Nimekiri"
"List Mode","Loetelu režiim"
"Manage Stock","Halda laoseisu"
"Max Characters","Max. tähemärgid"
"Maximum Image Size","Maksimaalne pildi suurus"
"Maximum Qty Allowed in Shopping Cart","Suurim ostukorvis lubatud kogus"
"Maximum image height","Maksimaalne pildi kõrgus"
"Maximum image width","Maksimaalne pildi laius"
"Maximum number of characters:","Maksimaalne tähemärkide arv:"
"Media Image","Meedia pilt"
"Minimum Qty Allowed in Shopping Cart","Väikseim ostukorvis lubatud kogus"
"My Account","Minu konto"
"N/A","Pole Saadaval"
"Name","Nimi"
"New Product","Uus toode"
"New Product Attribute","Uus tooteatribuut"
"New Products","Uued tooted"
"New Search","Uus otsing"
"New Set Name","Uue kogumi nimi"
"New products","Uued tooted"
"Next","Järgmine"
"No","Ei"
"No image","Pilt puudub"
"No layout updates","Kujunduse uuendused puuduvad"
"None","Puudub"
"Not Visible Individually","Ei kuvata eraldi"
"Notify for Quantity Below","Teavita alla kogust"
"Number of Products per Page","Tooteid lehe kohta"
"Number of Products to Display","Kuvatavate toodete hulk"
"Number of Uses","Kasutamiskordi"
"Number of results","Tulemuste arv"
"On Gesture","Viiped"
"Out of Stock","Laost otsas"
"Out of stock","Laost otsas"
"Parent Category","Juurkategooria"
"Pending","Ootel"
"Pending Reviews RSS","Ootel arvustuste RSS"
"Please wait...","Palun oota..."
"Position","Asukoht"
"Position in Layered Navigation","Positsioon tootefiltris"
"Prev","Eelmine"
"Previous","Eelmine"
"Price","Hind"
"Price Type","Hinnatüüp"
"Price:","Hind:"
"Print This Page","Prindi see lehekülg"
"Product","Toode"
"Product Alerts","Tooteteavitused"
"Product Attribute","Tooteatribuut"
"Product Attributes","Tooteatribuudid"
"Product Categories","Toote kategooriad"
"Product Flat Data","Toodete lameandmed"
"Product ID","Toote ID"
"Product Image Placeholders","Toote Pildi kohatäited"
"Product Info Column","Toote Info veerg"
"Product Listing Sort by","Toodete nimekirja sorteerimine"
"Product Name","Toote nimi"
"Product Reviews","Toote arvustused"
"Product URL Suffix","Toote URL-i järelliide"
"Product is not loaded","Toodet ei ole laetud"
"Products","Tooted"
"Products Comparison List","Toodete võrdlusnimekiri"
"Products Information","Toodete informatsioon"
"Products Reviews","Tootearvustused"
"Products only","Vaid tooted"
"Properties","Atribuudid"
"Qty","Kogus"
"Qty Increments","Kogusesamm"
"Qty Uses Decimals","Kogus võimaldab komakohti"
"Quantity","Kogus"
"Redirect URL","Ümbersuunamise URL-i"
"Related Products","Seotud tooted"
"Remove","Eemalda"
"Remove This Item","Eemalda toode"
"Reorganize EAV category structure to flat structure","Kohandab EAV kategooriaandmed lamedaks tabeliks"
"Reorganize EAV product structure to flat structure","Kohandab EAV tooteandmed lamedaks tabeliks"
"Reset","Tühista"
"Results","Tulemused"
"Reviews","Arvustused"
"Root","Peamine"
"SKU","Laokood"
"Save","Salvesta"
"Save Attribute","Salvesta atribuut"
"Save Search","Salvesta otsing"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Scope","Skoop"
"Search","Otsi"
"Search Query","Otsingu päring"
"Search Weight","Otsingu tähtsus"
"Searchable","Otsitav"
"See price before order confirmation.","Hindade näitamine enne tellimuse kinnitamist."
"Select Category...","Vali kategooria..."
"Select Product...","Vali toode..."
"Send Count","Saada kogus"
"Set Ascending Direction","Määra tõusev suund"
"Set Descending Direction","Määra kahanevas suunas"
"Settings","Seaded"
"Shop By","Vali"
"Shopping Options","Ostlemise Valikud"
"Show","Näita"
"Show Details","Vaata üksikasju"
"Sort By","Sorteeri"
"Sort Order","Sorteerimise järjekord"
"Static","Staatiline"
"Static block and products","Staatiline plokk ja tooted"
"Static block only","Vaid staatiline plokk"
"Status","Staatus"
"Stock Availability","Saadavus laost"
"Store","Pood"
"Store View","Poevaade"
"Stretch","Venita"
"Subscribe to RSS Feed","Telli RSS voog"
"System Properties","Süsteemi seaded"
"Tax","Maks"
"Template","Mall"
"Text","Tekst"
"This attribute cannot be edited.","Seda atribuuti ei saa muuta."
"This attribute is used in configurable products.","Seda atribuut on kasutuses konfigureeritavate toodetega."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Seda atribuuti kasutatakse konfigureeritavates toodetes. Sa ei saa seda eemaldada atribuudikogumikust."
"This attribute set no longer exists.","Atribuudikogumit enam ei eksisteeri."
"This search no longer exists.","See otsing enam ei eksisteeri."
"Time Format","Kellaajavorming"
"Title","Pealkiri"
"To see product price, add this item to your cart. You can always remove it later.","Toote hinna nägemiseks lisage see ostukorvi. Te saate selle alati hiljem eemaldada."
"Top/Left","Üleval/Vasakul"
"Top/Right","Üleval/Parem"
"Type","Tüüp"
"Unassigned Attributes","Valimata atribuudid"
"Up-sells","Asendusmüügid"
"Update","Uuenda"
"Update Attributes","Uuenda atribuute"
"Update attributes","Uuenda atribuute"
"Use Config Settings","Kasuta üldseadeid"
"Use Default Value","Kasuta vaikeväärtust"
"Use Flat Catalog Category","Kasuta lamedat kategooriat"
"Use Flat Catalog Product","Kasuta lamedat toodet"
"Use JavaScript Calendar","Kasuta JavaScript kalendrit"
"Use config","Kasuta seadeid"
"Use for Promo Rule Conditions","Kasuta hinnareeeglites"
"Use in Layered Navigation","Kasuta tootefiltris"
"Used for Sorting in Product Listing","Kasutatav tootenimekirja sorteerimiseks"
"Used in Product Listing","Kasutatud toodete loetelus"
"View Details","Vaata lähemalt"
"View as","Kuvamisviis"
"Visibility","Nähtavus"
"Visible","Nähtav"
"WYSIWYG Editor","WYSIWYG redaktor"
"Website","Koduleht"
"Websites","Veebisaidid"
"What's this?","Mis see on?"
"Yes","Jah"
"You have no items to compare.","Pole tooteid mida võrrelda."
"and above","ja rohkem"
"per page","lehe kohta"
"select all","vali kõik"
"unselect all","tühista kõik"
