"# of Use","# korištenja"
"%s Item(s)","%s Artikala"
"(Copy data from: %s)","(Kopiraj podatke iz: %)"
"Feature Products","Predloženi proizvodi"
"Filterable (no results)","Selektivno (bez rezultata)"
"Filterable (with results)","Selektivno (s rezultatima)"
"First Name","Ime"
"Frontend","Vanjsko sučelje"
"Frontend Model","Model vanjskog sučelja"
"Frontend Properties","Svojstva vanjskog sučelja"
"Gallery","Galerija"
"General Information","Opće informacije"
"Globally Editable","Globalno izmjenjivo"
"Go to Home Page","Odi na početnu stranicu"
"Grid","tablično"
"Grouped Product","Grupirani proizvodi"
"Groups","Grupe"
"Home","Početna"
"Image","Slika"
"Image type and information need to be specified for each store view.","Tip slike i podaci moraju biti navedeni za svaki izlog trgovine."
"In Stock","Na skladištu"
"In stock","Na skladištu"
"Integer","Cjelobrojna vrijednost"
"Inventory","Popis zaliha"
"Is Default","Standardno"
"Items %s to %s of %s total","Artikli %s do %s od %s ukupno"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikli koje ne želite prikazati u katalogu ili u rezultatima pretraživanja bi trebali imati status 'Onemogućen' u traženoj trgovini."
"Label","Labela"
"Last Name","Prezime"
"Last Notification","Zadnja napomena"
"Learn More","Detaljnije"
"Line %d, Email: %s","Linija %d, email: %s"
"Line %d, SKU: %s","Linija %d, SKU: %s"
"List","redno"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Minimum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Minimum Qty for Item's Status to be Out of Stock","Minimalna količina artikala za status: 'nema na skladištu'"
"More Views","Više pogleda"
"My Account","Moj korisnički račun"
"Name","Naziv"
"New Product","Novi proizvod"
"New Product Attribute","Novi atribut proizvoda"
"New Products","Novi proizvodi"
"New Search","Nova pretraga"
"New Set Name","Novo ime seta"
"Next","Slijedeći"
"No","Ne"
"No image","Nema slike"
"No layout updates","Nema obnova shema"
"None","Nema"
"Notify Low Stock RSS","RSS upozorenje niskih zaliha"
"Notify for Quantity Below","Upozori na količinu ispod"
"Number of Uses","Broj korištenja"
"OR","ILI"
"Old Price:","Stara cijena:"
"Option:","Opcija:"
"Options","Opcija"
"Options Control","Kontrola opcija"
"Out of Stock","Nema na skladištu"
"Out of stock","Nema na skladištu"
"Page Title Separator","Separator naslova stranice"
"Parent Category","Pretkategorija"
"Pending","U tijeku:"
"Pending Reviews RSS","RSS recenzija u tijeku"
"Percentage","Postotak"
"Please enter a new group name","Molim unesite novo ime grupe"
"Please select one or more attributes.","Molim odaberite jedan ili više atributa."
"Please select products for attributes update","Molim odaberite proizvode za ažuriranje atributa"
"Please wait...","Molim pričekajte..."
"Position of attribute in layered navigation block","Pozicija atributa u bloku sheme navigacije"
"Prev","Pret"
"Previous","Prethodni"
"Price","Cijena"
"Price:","Cijena:"
"Print This Page","Ispiši ovu stranicu"
"Product","Proizvod"
"Product Alerts","Upozorenja o proizvodima"
"Product Attribute","Atribut proizvoda"
"Product Attributes","Atributi proizvoda"
"Product Categories","Kategorije proizvoda"
"Product Description","Opis proizvoda"
"Product ID","ID proizvoda"
"Product Image Placeholders","Okvir za sliku proizvoda"
"Product Image Watermarks","Vodeni žig za slike proizvoda"
"Product In Websites","Proizvoda na web stranici"
"Product Information","Informacije o proizvodu"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product Tags","Tagovi proizvoda"
"Product Type","Vrsta proizvoda"
"Product with this combination of attributes already associated to configurable.","Proizvod s takvom kombinacijom atributa je već označen kao konfigurabilan."
"Products","Proizvodi"
"Products Information","Informacije o proizvodi"
"Products Reviews","Recenzije proizvoda"
"Products only","Samo proizvodi"
"Properties","Svojstva"
"Qty","Kol"
"Qty Uses Decimals","Kol koristi decimalnu vrijednost"
"Quantity","Količina"
"Quick Create","Brzo kreiranje"
"Quick Overview","Kratki opis"
"Quick simple product creation","Brzo kreiranje jednostavnog proizvoda"
"Redirect","Redirekcija"
"Redirect URL","Redirekcija URL-a"
"Regular Price:","Standardna cijena:"
"Related Products","Slični proizvodi"
"Remove","Ukloni"
"Remove Product From Websites","Ukloni proizvod s web stranice"
"Remove This Item","Ukloni ovu stavku"
"Reset","Resetiraj"
"Results","Rezultati"
"Reviews","Recenzije"
"Roll Over for preview","Pređi preko mišem za pregled"
"Save","Spremi"
"Save Attribute","Spremi atribute"
"Save Attribute Set","Spremi set atributa"
"Save Category","Spremi kategoriju"
"Save Search","Spremi pretragu"
"Scope","Doseg"
"Search","Traži"
"Search Engine Optimizations","Optimiranje za programe za pretraživanje"
"Search Information","Informacije o pretrazi"
"Search Query","Upit pretrage"
"Searchable","Pretraživo"
"Select Configurable Attributes ","Odaberite konfigurabilne atribute"
"Selected Product Types","Odaberite vrste proizvoda"
"Send Count","Pošalji broj"
"Set Ascending Direction","Postavi rastućim redosljedom"
"Set Descending Direction","Postavi padajućim redosljedom"
"Set Name","Postavi ime"
"Set root category for this store in the <a href=""%s"">configuration</a>","Osnovna kategorija za ovu trgovinu u <a href=""%s"">configuration</a>"
"Settings","Postavke"
"Shopping Options","Dodaj uvjet prikaza"
"Show","Prikaži"
"Simple Product","Jednostavni proizvod"
"Site Map","Mapa Web-a"
"Skip import row, is not valid value ""%s"" for field ""%s""","Preskoči uvoz sloga, neispravna vrijednost ""%s"" za polje ""%s"""
"Sort Order","Redosljed sortiranja"
"Source Model","Izvorni model"
"Special Price:","Specijalna cijena:"
"Starting at:","Već po:"
"Static","Statičko"
"Static block and products","Statički blok i proizvodi"
"Static block only","Samo statički blok"
"Stock Availability","Dostupnost sa skladišta"
"Store","Trgovina"
"Store View","Izlog"
"Stretch","Raširi"
"Subscribe to RSS Feed","Pretplaćen na RSS"
"Synonym For","Sinonim za"
"System Properties","Sistemska svojstva"
"Tag Name","Ime tag-a"
"Tax","Porez"
"Template","Predložak"
"There are no %s available.","Nema %s raspoloživih."
"There are no customers for this alert","Nema kupaca za to upozorenje"
"There are no products matching the selection.","Nema proizvoda koji odgovaraju odabiru."
"This attribute no longer exists","Ovaj atribut više ne postoji"
"This group contains system attributes. Please move system attributes to another group and try again.","Ova grupa sadrži sistemske atribute. Molim premjestite sistemske atribute u drugu grupu i pokušajte ponovo."
"Tier Pricing","Određivanje uvjetnih cijena"
"Tile","Posloži"
"Title","Naslov"
"Top/Left","Gore/lijevo"
"Top/Right","Dolje/desno"
"Type","Tip"
"Unassigned Attributes","Nepridijeljeni atributi"
"Update","Ažuriraj"
"Update attributes","Ažuriraj atribute"
"Use Default Value","Koristi uobičajene vrijednosti"
"Use In Layered Navigation","Koristi u strukturiranoj navigaciji"
"Use To Create Configurable Product","Koristi za kreiranje konfigurabilnih proizvoda"
"Use default","Koristi uobičajeno"
"View Details","Prikaži detalje"
"View as","Prikaži"
"Visibility","Vidljivost"
"Visible","Vidljiv"
"Visible on Catalog Pages on Front-end","Vidljiv u katalogu na vanjskom sučelju"
"Watermark","Vodeni žig"
"Watermark Default Size","Standardna veličina vodenog žiga"
"Watermark Position","Pozicija vodenog žiga"
"Website","Web stranica"
"What's this?","Što je ovo?"
"Yes","Da"
"You cannot remove system attribute from this set.","Ne možete ukloniti sistemski atribut iz seta."
"You have no items to compare.","Nemate artikala za usporedbu."
"You may also be interested in the following product(s)","Možda će vas zanimati i slijedeći proizvod(i)"
"Zoom In","Uvećaj"
"Zoom Out","Umanji"
"and","i"
"and above","i više"
"ex. http://domain.com","npr. http://domain.com"
"per page","po stranici"
"select all","odaberi sve"
"unselect all","odznači sve"
