"1 Day Freight","24 uurs zending"
"Priority Mail Large Flat Rate Box","Vast tarief Priority Mail grote doos"
"Priority Mail Large Flat Rate Box Hold For Pickup","Vast tarief Priority Mail grote doos - vasthouden voor afhalen"
"Priority Mail Legal Flat Rate Envelope","Vast tarief Priority Mail legal envelop"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail envelop vasthouden voor ophalen"
"Priority Mail Medium Flat Rate Box","Vast tarief Priority Mail medium doos"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Vast tarief Priority Mail medium doos - vasthouden voor afhalen"
"Priority Mail Padded Flat Rate Envelope","Vast tarief Priority Mail padded envelope"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail padded envelop vasthouden voor ophalen"
"Priority Mail Regional Rate Box A","Priority Mail Regionaal tarief Doos A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regionaal tarief Doos A Vasthouden voor ophalen"
"Priority Mail Regional Rate Box B","Priority Mail Regionaal tarief Doos B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regionaal tarief Doos B Vasthouden voor ophalen"
"Priority Mail Regional Rate Box C","Priority Mail Regionaal tarief Doos C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regionaal tarief Doos C Vasthouden voor ophalen"
"Priority Mail Small Flat Rate Box","Vast tarief Priority Mail kleine doos"
"Priority Mail Small Flat Rate Box Hold For Pickup","Vast tarief Priority Mail kleine doos - vasthouden voor afhalen"
"Priority Mail Small Flat Rate Envelope","Vast tarief Priority Mail kleine envelop"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail kleine envelop vasthouden voor ophalen"
"Priority Mail Window Flat Rate Envelope","Vast tarief Priority Mail vensterenvelop"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Vast tarief Priority Mail vensterenvelop vasthouden voor ophalen"
"Rectangular","Rechthoekig"
"Regular","Normaal"
"Required","Vereist"
"Residential","Particulier"
"Residential Delivery","Particulier adres"
"Response is in the wrong format","Antwoord is in het onjuiste formaat"
"Retail Ground","Winkelgrond"
"Return","Retourzending"
"Sample","demo"
"Sender","Afzender"
"Service type does not match","Service type komt niet overeen"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Shipper Number","Nummer verzender"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Signature Required","Handtekening verplicht"
"Size","Grootte"
"Sort Order","Sorteervolgorde"
"Specific","Specifiek"
"Standard Overnight","Standaard vannacht"
"Station","Status"
"Subtotal","Subtotaal"
"The response is in wrong format.","De reactie kan niet verwerkt worden"
"Title","Titel"
"Tracking XML URL","XML traceer URL"
"UPS Type","UPS type"
"USPS GXG Envelopes","USPS GXG enveloppen"
"Unable to retrieve tracking","Kan tracking niet ophalen"
"User ID","Gebruiker-ID"
"Variable","Variabel"
"Weight Unit","Gewichtseenheid"
"Width","Breedte"
"Yes","Ja"
"Your Packaging","Uw verpakking"
