"(Excl. Tax)","(Excl. BTW)"
"Customer Information","Klantgegevens"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard Factuuradres"
"Default Shipping","Standaard verzendadres"
"Delete Condition","Voorwaarde verwijderen"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Display Cart Summary","Winkelwagen-samenvatting weergave"
"Display item quantities","Artikel aantallen tonen"
"Display number of items in cart","Aantal producten in winkelwagen tonen"
"Edit","Bewerken"
"Edit Address","Bewerk adres"
"Edit Billing Address","Factuuradres bewerken"
"Edit Condition","Wijzig conditie"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar je winkelwagen"
"Edit item","Artikel bewerken"
"Edit item parameters","Wijzig product-parameters"
"Email Address","E-mail adres"
"Enable Onepage Checkout","OnePageCheckout (standaard Checkout) activeren"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Estimate Shipping and Tax","Bekijk verzendkosten en BTW"
"Excl. Tax","Excl. BTW"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Wachtwoord vergeten?"
"Gift Message","Cadeau-bericht"
"Grand Total:","Eindtotaal:"
"Grouped Product Image","Afbeelding gegroepeerd product"
"Incl. Tax","Incl. BTW"
"Items","Producten"
"Load customer quote error","Fout bij laden van klant-quote"
"Login","Log in"
"Move","Verplaats"
"Move to Wishlist","Verplaats naar verlanglijst"
"My Cart","Winkelwagen"
"My Cart Link","Winkelwagenlink"
"New Address","Nieuw Adres"
"New Condition","Nieuwe Algemene Voorwaarden"
"New Terms and Conditions","Nieuwe voorwaarden"
"No Payment Methods","Geen betaalmethodes"
"Order #","Ordernr."
"Order Review","Controleer je bestelling"
"Order Success","Bestelling succes"
"Password","Wachtwoord"
"Payment Failed Email Sender","Afzender Betaling Mislukt E-mail"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Sjabloon Betaling Mislukt"
"Payment Information","Betaalgegevens"
"Payment Method","Betaalmethode"
"Place Order","Plaats bestelling"
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat je de bestelling plaatst."
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat je de bestelling plaatst."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Price","prijs"
"Proceed to Checkout","Ga door naar afrekenen"
"Product Name","Product Naam"
"Products","Producten"
"Qty","Aantal"
"Qty:","Aantal:"
"Quantity","Aantal"
"Quote Lifetime (days)","Geldigheid winkelwagen (dagen)"
"Recently added item(s)","Recent toegevoegd(e) producten"
"Remove Item","Product verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove item","Verwijder dit artikel"
"Review Order","Controleer bestelling"
"SKU","Art.nr."
"Sales","Verkopen"
"Save Condition","Algemene Voorwaarden opslaan"
"Save in address book","Opslaan in adresboek"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Select Address","Kies een adres"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Kies een verzendmethode"
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit je adresboek of geef een nieuw e-mailadres in"
"Send Payment Failed Email Copy Method","Verzendmethode voor kopie Betaling Mislukt e-mail"
"Send Payment Failed Email Copy To","Stuur kopie Betaling Mislukt e-mail aan"
"Send To","Verzenden naar"
"Separate by "","".","Gescheiden door "",""."
"Ship to Multiple Addresses","Verzenden naar meerdere adressen"
"Shipping Address","Bezorgadres"
"Shipping Information","Bezorg Informatie"
"Shipping Method","Bezorgmethode"
"Shipping Methods","Verzendmethoden"
"Shipping To","Verenden naar"
"Shopping Cart","Winkelwagen"
"Show Content as","Inhoud tonen als"
"State/Province","Staat/Provincie"
"Status","status"
"Store View","Winkelaanzicht"
"Street Address","Adres"
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
"Subtotal","Subtotaal"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor je bestelling!"
"The product does not exist.","Het artikel bestaat niet"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unit Price","Stukprijs"
"Update","Bijwerken"
"Update Cart","Bijwerken"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Update Winkelwagen"
"VAT Number","BTW nummer"
"View Shopping Cart","Bekijk winkelwagen"
"What's this?","Wat is dit?"
"You have no items in your shopping cart.","Je hebt geen product(en) in je winkelwagen."
"Zip/Postal Code","Postcode"
"or","of"
