"* Required Fields","* Verplichte velden"
"Product Listing Sort by","Productlijst sorteren op"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Product URL Suffix","Product URL achtervoegsel"
"Product is not loaded","Product is niet geladen"
"Products","Producten"
"Products Comparison List","Product vergelijk-lijst"
"Products Information","Gegevens producten"
"Products Reviews","Reviews"
"Products only","Alleen producten"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Properties","Kenmerken"
"Qty","Aantal"
"Qty Increments","Opklimmend aantal"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Qty:","Aantal:"
"Quantity","Aantal"
"Redirect URL","Doorverwijs URL"
"Related Products","Gerelateerde producten"
"Remove","Verwijder"
"Remove Product From Websites","Product van websites verwijderen"
"Remove This Item","Verwijder dit artikel"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Reset","Resetten"
"Results","Resultaten"
"Root","Hoofd (root)"
"SKU","Art.nr."
"Save","Opslaan"
"Save Attribute","Attribuut Opslaan"
"Save Search","Zoekopdracht opslaan"
"Save and Continue Edit","Toepassen"
"Scope","Bereik"
"Search","Zoek"
"Search Information","Zoekinformatie"
"Search Query","Zoekterm"
"Search Weight","Zoekgewicht"
"Searchable","Doorzoekbaar"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Select Category...","Selecteer categorie..."
"Select Product...","Selecteer product..."
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Settings","Instellingen"
"Shop By","Filteren"
"Shopping Options","Selectie verfijnen"
"Show","Weergeven"
"Show Details","Toon Details"
"Site Map","Sitemap"
"Some of the selected item options are not currently available.","Sommige van de geselecteerde item-opties zijn op dit moment niet beschikbaar"
"Sort By","Sorteer op"
"Sort Order","Sorteervolgorde"
"Source Model","Bron model"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","status"
"Stock Availability","Beschikbaarheid voorraad"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Stretch","Uitrekken"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"System Properties","Systeemeigenschappen"
"Tax","BTW"
"Template","Sjabloon"
"Text","Tekst"
"The base directory to upload file is not specified.","De basisfolder om het bestand te uploaden is niet opgegeven."
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. Je kan het niet van de attributenset verwijderen."
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw."
"This search no longer exists.","Deze zoekopdracht bestaat niet meer"
"This setting will be applied when all prices in the specific price interval are equal.","Deze instelling wordt toegepast wanneer alle prijzen in het specifieke prijsinterval gelijk zijn."
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time Format","Tijdsformaat"
"Title","Titel"
"To see product price, add this item to your cart. You can always remove it later.","Om de prijs van het product te zien, voeg dit product toe aan je winkelwagen. Je kan het later altijd verwijderen."
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Type","Soort"
"URL Rewrite Management","URL-herschrijf beheer"
"Unassigned Attributes","Niet-toegewezen attributen"
"Up-sells","verkoop van duurdere producten"
"Update","Bijwerken"
"Update Attributes","Attributen bijwerken"
"Update attributes","Atttributen bijwerken"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Use Categories Path for Product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use Config Settings","Gebruik configuratiewaarden"
"Use Default Value","Gebruik standaard waarde"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Use config","Gebruik configuratie"
"Use default","Gebruik standaard"
"Use for Promo Rule Conditions","Gebruik voor promotieregels"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën"
"Used in Product Listing","Te gebruiken in categorieën"
"View Details","Bekijk details"
"View as","Tonen als"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"WYSIWYG Editor","WYSIWYG editor"
"What's this?","Wat is dit?"
"Year Range","Jaar"
"Yes","Ja"
"You have no items to compare.","Geen producten geselecteerd."
"You saved the search term.","Je hebt de zoekterm opgeslagen."
"and above","en hoger"
"ex. http://domain.com","bijv. http://domein.nl"
"per page","per pagina"
"products","producten"
"save","bewaar"
"select all","alles selecteren"
"unselect all","alles deselecteren"
