"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"Empty","Tom"
"Enable Qty Increments","Aktiver antal intervaller"
"Enabled","Aktiveret"
"Error during retrieval of option value: %s","Værdi for mulighed %s kunne ikke hentes"
"Exclude","Udeluk"
"Expand All","Vis alle"
"Failed","Mislykket"
"Failed to move file: %s","Kunne ikke flytte filen: %s"
"Feature Products","Fremhævede produkter"
"Filter","Filtrer"
"Filterable (no results)","Kan filtreres (uden søgeresultat)"
"Filterable (with results)","Kan filtreres (med søgeresultat)"
"First Name","Fornavn"
"Fixed","Fast"
"Frontend Model","Model (front-end)"
"Frontend Properties","Egenskaber (front-end)"
"Gallery","Galleri"
"General Information","Generelle informationer"
"Get special price","Hent specialpris"
"Global","Globalt"
"Globally Editable","Kan redigeres globalt"
"Go to Home Page","Gå til forsiden"
"Grid","Gitter"
"Grouped Product","Grupperet produkt"
"Groups","Grupper"
"Home","Forsiden"
"Image","Billede"
"Image content is not valid base64 data.","Billeddata er ikke gyldige base64-data."
"Image type and information need to be specified for each store view.","Billedtype og -information skal specificeres for hver visning af forretning."
"In Cart","I indkøbskurven"
"In Stock","På lager"
"In stock","På lager"
"Incl. Tax","Inkl. moms"
"Index product prices","Indekserede produktpriser"
"Indexed category/products association","Indekserede associerede kategori/produkter"
"Input Type","Input type"
"Integer","Heltal"
"Invalid Tier Prices","Ugyldig mængderabat"
"Invalid image type.","Ugyldig billedtype."
"Invalid store specified","Ugyldig butik specificeret"
"Inventory","Lager"
"Is Default","Er standard"
"Is Required","er påkrævet"
"Items %s to %s of %s total","%s til %s ud af %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil have skal vises i kataloget eller under søgning skal have sat status som ""Deaktiveret"" i den ønskede butik."
"Label","Etiket"
"Last Name","Efternavn"
"Last Notification","Sidste notifikation"
"Learn More","Læs mere"
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, varenummer: %s"
"Link (Related, Up sell, Cross sell)","Link (relateret, opsalg, krydssalg)"
"Link to a Specified Product","Link til et angivet produkt"
"List","Liste"
"List Mode","Listetilstand"
"List of Products that are set as New","Liste over produkter, der er indstillet som nye"
"Manage Attribute Sets","Administrere attribut sæt"
"Manage Attributes","Egenskaber"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrer kategorier"
"Manage Product Attributes","Administrere produktattributterne"
"Manage Product Sets","Administrere produkt sæt"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farve, osv.)"
"Max Characters","Max tegn"
"Maximal Depth","Maksimal dybde"
"Maximum Image Size","Maksimal billedstørrelse"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Maximum image height","Maksimale billedhøjde"
"Maximum image width","Maksimum billedbredde"
"Maximum number of characters:","Maksimalt antal tegn"
"Media Image","Media billede"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"Minimum Qty for Item's Status to be Out of Stock","Minimum antal for at varens status er ikke på lager"
"More Views","Flere visninger"
"Move","Flyt"
"Move category in tree","Flyt kategori i træet"
"My Account","Min Konto"
"Name","Navn"
"New Product","Nyt produkt"
"New Product Attribute","Ny produkt attribut"
"New Products","Nye produkter"
"New Products Grid Template","Nye produkter gitterskabelon"
"New Products List Template","Nye produkter listeskabelon"
"New Search","Ny søgning"
"New Set Name","Nyt set navn"
"New products","Nye produkter"
"Next","Videre"
"No","Nej"
"No image","Intet billede"
"No layout updates","Ingen layout opdateringer"
"No options of this product are available.","Der findes ingen indstillinger for dette produkt."
"None","Ingen"
"Not Visible Individually","Ikke synligt individuelt"
"Notify Low Stock RSS","Advisér Lavt Lager RSS"
"Notify for Quantity Below","Advisér for mængde under"
"Number of Products per Page","Antal produkter pr. side"
"Number of Products to Display","Antallet af produkter som vises"
"Number of Uses","Anvendt (antal gange)"
"OR","ELLER"
"Old Price:","Gammel pris:"
"Option:","Mulighed:"
"Options","Valgmuligheder"
"Options Control","Indstillinger af muligheder"
"Options is required","Muligheder er påkrævet"
"Out of Stock","Udsolgt"
"Out of stock","Udsolgt"
"Page Title Separator","Side titel separator"
"Parent Category","Overordnet kategori"
"Pending","Afventer"
"Pending Reviews RSS","Afventende anmeldelser RSS"
"Percentage","Procent"
"Please add rows to option.","Tilføj venligst rækker til muligheden."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Pas på, da pakkedata fra den valgte fil indlæses og al data der ikke er gemt vil gå tabt, så snart du klikker på rækken."
"Please enter a new group name","Indtast venligst et gruppenavn"
"Please select one or more attributes.","Vælg venligst en eller flere egenskaber"
"Please select products for attributes update","Vælg venligst de produkter, hvis egenskaber skal opdateres"
"Please specify date required option(s).","Angiv venligst dato krævede indstillinger."
"Please specify the product required option(s)","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the quantity of product(s).","Angiv mængden af produkt(er)."
"Please specify time required option(s).","Angiv venligst dato krævede indstillinger."
"Please wait...","Vent venligst..."
"Position","Placering"
"Position of attribute in layered navigation block","Egenskabens position i den lagdelte navigationsblok"
"Prev","Tilbage"
"Previous","Tilbage"
"Price","Pris"
"Price Type","Pristype"
"Price values for options should be specified in system base currency.","Priser for mulighederne skal være specificeret i systemets standardvaluta."
"Price:","Pris:"
"Print This Page","Udskrive denne side"
"Product","Produkt"
"Product API","Produkt-API"
"Product Alerts","Produktet alarmer"
"Product Attribute","Produkt attribut"
"Product Attributes","Produktattributter"
"Product Categories","Produktkategorier"
"Product Description","Beskrivelse"
"Product Flat Data","Flade produkt data"
"Product ID","Produkt ID"
"Product Image Placeholders","Placeholders til produktbilleder"
"Product Image Watermarks","Produktbillede vandmærke"
"Product Images","Produktbilleder"
"Product Images API","Produktbilled-API"
"Product In Websites","Produkt i Websites"
"Product Info Column","Produktinfo-kolonne"
"Product Information","Produktinformation"
"Product Listing Sort by","Sorter produktliste efter"
"Product Name","Produktnavn"
"Product Reviews","Produktanmeldelser"
"Product Tags","Produkt-tags"
"Product Tier Price API","Produkt-mængderabat-API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL suffiks"
"Product attribute sets API","Produkt-egenskabssæt-API"
"Product attributes API","Produktegenskabs-API"
"Product is not loaded","Produktet er ikke indlæst"
"Product links API (related, cross sells, up sells)","Produktlinks-API (relaterede, krydssalg, opsalg)"
"Product types API","Produkttype-API"
"Product with this combination of attributes already associated to configurable.","Produktet med denne kombination af egenskaber er allerede forbundet med dette konfigurerbare produkt."
"Products","Produkter"
"Products Comparison List","Produkt sammenlignings liste"
"Products Information","Produkt information"
"Products Reviews","Produkters bedømmelser"
"Products Sitemap","Sitemap for produkter"
"Products only","Kun produkter"
"Properties","Egenskaber"
"Qty","Antal"
"Qty Increments","Antal intervaller"
"Qty Uses Decimals","Antal bruger decimaler"
"Qty:","Antal:"
"Quantity","Antal"
"Quick Create","Hurtig-opret"
"Quick Overview","Hurtigt overblik"
"Quick simple product creation","Hurtig simpel produktoprettelse"
"Redirect","Omdiriger"
"Redirect URL","Omdirigere URL"
"Regular Price:","Pris:"
"Related Products","Relaterede produkter"
"Remove","Fjern"
"Remove Product From Websites","Fjern produktet fra hjemmesider"
"Remove This Item","Fjern dette produkt"
"Remove product assignment","Fjern produkttildeling"
"Remove product image","Fjern produktbillede"
"Remove product link","Fjern produktlink"
"Reorganize EAV category structure to flat structure","Reorganiser EAV kategoristruktur til flad struktur"
"Reorganize EAV product structure to flat structure","Reorganiser EAV produktstruktur til flad struktur"
"Reset","Nulstil"
"Results","Resultater"
"Retrieve attribute data","Hent egenskabsdata"
"Retrieve attribute list","Hent egenskabsliste"
"Retrieve attribute options","Hent egenskabsmuligheder"
"Retrieve categories tree","Hent kategoritræ"
"Retrieve category attributes","Hent kategoriegenskaber"
"Retrieve category data","Hent kategoridata"
"Retrieve hierarchical tree","Hent hierarkisk træ"
"Retrieve linked products","Hent tilknyttede produkter"
"Retrieve list of assigned products","Hent liste af tilknyttede produkter"
"Retrieve one level of categories by website/store view/parent category","Hent et niveau af kategorier ud fra website/forretningsvisning/forældrekategori"
"Retrieve product","Hent produkt"
"Retrieve product attribute sets","Hent produktegenskabssæt"
"Retrieve product image","Hent produktbillede"
"Retrieve product image list","Hent produktbilledliste"
"Retrieve product image types","Hent produktbilledtyper"
"Retrieve product link type attributes","Hent egenskaber for tilknyttede produkters typer"
"Retrieve product link types","Hent tilknyttede produkters typer"
"Retrieve product tier prices","Hent produktmængderabatter"
"Retrieve product types","Hent produkttyper"
"Retrieve products data","Hent produktdata"
"Retrieve products list by filters","Hent produktliste med filtre"
"Reviews","Anmeldelser"
"Roll Over for preview","Hold musen henover for preview"
"Root","Rod"
"SKU","Varenummer"
"Save","Gem"
"Save Attribute","Gem attribut"
"Save Attribute Set","Gem sæt"
"Save Category","Gem kategori"
"Save Search","Gem søgning"
"Save and Continue Edit","Gem og fortsæt redigering"
"Scope","Anvendelsesområde"
"Scope must not be changed, because the attribute is used in configurable products.","Anvendelsesområde skal ændres, da egenskaben benyttes i konfigurerbare produkter."
"Search","Søg"
"Search Engine Optimizations","Søgemaskine-optimering (SEO)"
"Search Information","Søgning - detaljer"
"Search Query","Søgning"
"Searchable","Søgbar"
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"Select Category...","Vælg kategori..."
"Select Configurable Attributes ","Vælg konfigurerbare egenskaber"
"Select Product...","Vælg produkt..."
"Select type of option","Vælg type af mulighed"
"Select type options required values rows.","Vælg type indstillinger krævet af værdi rækker."
"Selected Product Types","Valgte produkttyper"
"Send Count","Send optælling"
"Set Ascending Direction","Stigende orden"
"Set Descending Direction","Faldende orden"
"Set Name","Sætnavn"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angiv rodkategorien for denne butik i <a href=""%s"">konfigurationen</a>"
"Set special price","Angiv specialpris"
"Set/Get current store view","Sæt/hent nuværende forretningsvisning"
"Settings","Indstillinger"
"Shop By","Filtrer"
"Shopping Options","Filtrer efter"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tags"
"Simple Product","Simpelt produkt"
"Site Map","Sitemap"
"Sitemap","Hjemmeside kort"
"Skip import row, is not valid value ""%s"" for field ""%s""","Springer over importrække, ugyldig værdi ""%s"" for feltet ""%s"""
"Some of the selected item options are not currently available.","Nogle af de markerede indstillinger er ikke tilgængelige i øjeblikket."
"Sort By","Sorter efter"
"Sort Order","Sorteringsrækkefølge"
"Source Model","Kilde-model"
"Special Price:","Specialpris:"
"Starting at:","Starter ved:"
"Static","Statisk"
"Static block and products","Statisk blok og produkter"
"Static block only","Kun statisk blok"
"Stock Availability","Lagerbeholdningen"
"Store","Butik"
"Store View","Butiksvisning"
"Stretch","Stræk"
"Subscribe to RSS Feed","Abonnér på RSS Feed"
"Super product attributes configuration","Egenskabskonfiguration for superprodukt"
"Synonym For","Synonym for"
"System Properties","System egenskaber"
"Tag Name","Navn"
"Tax","Moms"
"Template","Skabelon"
"Text","Tekst"
"The base directory to upload file is not specified.","Base mappen til at uploadet filer i er ikke specificeret."
"The review was removed by another user or does not exist.","Anmeldelsen blev fjernet af en anden bruger eller eksisterer ikke."
"There are no %s available.","Der er ingen %s til rådighed."
"There are no customers for this alert","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no customers for this alert.","Der findes ingen kunder til denne advarsel."
"There are no products matching the selection.","Der er ikke nogen produkter, som matcher de kriterier, du har angivet."
"This attribute cannot be edited.","Denne attribut kan ikke redigeres."
"This attribute is used in configurable products.","Denne attribut bruges i konfigurérbare produkter."
"This attribute no longer exists","Egenskaben eksisterer ikke længere"
"This attribute set no longer exists.","Denne attribut eksisterer ikke længere."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denne gruppe indeholder egenskaber brugt i konfigurerbare produkter. Flyt venligst disse egenskaber til en anden gruppe og prøv igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppe indeholder systemegenskaber. Flyt venligst alle systemegenskaber til en anden gruppe og prøv så igen."
"This search no longer exists.","Denne søgning eksisterer ikke længere."
"Tier Pricing","Tier prissætning"
"Tile","Flise"
"Time Format","Klokkeslætsformat"
"Title","Titel"
"Top/Left","Øverst til venstre"
"Top/Right","Top/højre"
"Total Qty Base Items","Total antal basisvarer"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Unassigned Attributes","Ikke-tildelte attributter"
"Up-sells","Op-sælge"
"Update","Opdater"
"Update Attributes","Opdater attributter"
"Update Tier Price","Opdater mængderabat"
"Update assigned product","Opdater tilknyttet produkt"
"Update attributes","Opdater attributter"
"Update category","Opdater kategori"
"Update product","Opdater produkt"
"Update product image","Opdater produktbillede"
"Update product link","Opdater tilknyttet produkt"
"Update product tier prices","Opdater mængderabatter"
"Upload new product image ","Upload nyt produktbillede "
"Use Categories Path for Product URLs","Brug kategoriers sti til produkt URL'er"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Use Default Value","Brug standardværdi"
"Use Flat Catalog Category","Brug flat katalog kategori"
"Use Flat Catalog Product","Anvend et fladt produktkatalog"
"Use In Layered Navigation","Anvend i lagdelt navigation"
"Use In Search Results Layered Navigation","Brug i lagdelt navigation for søgeresultater"
"Use JavaScript Calendar","Brug JavaScript kalender"
"Use To Create Configurable Product","Anvend til 'Opret konfigurerbart produkt'"
"Use config","Brug config"
"Use default","Brug standard"
"Use for Promo Rule Conditions","Til brug for Promo regler"
"Used for Sorting in Product Listing","Brugt til at sortere Produktlister"
"Used in Product Listing","Brugt på Produktlister"
"Varchar","Varchar (felttype)"
"View Details","Vis detaljer"
"View as","Vis som"
"Virtual Product","Virtuelt produkt"
"Visibility","Visibilitet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsiderne"
"Watermark","Vandmærke"
"Watermark Default Size","Vandmærkestørrelse (standard)"
"Watermark Position","Vandmærkeposition"
"We Also Recommend","Vi anbefaler også"
"Website","Hjemmeside"
"Websites","Hjemmesider"
"What's this?","Hvad er dette?"
"Yes","Ja"
"You cannot remove system attribute from this set.","Systemegenskaber kan ikke fjernes fra sættet."
"You have no items to compare.","Du har ingen varer at sammenligne."
"You may also be interested in the following product(s)","Måske vil du også være interesseret i disse produkt(er)?"
"Zoom In","Zoom ind"
"Zoom Out","Zoom ud"
"and","og"
"and above","og over"
"categories","kategorier"
"each","pr. stk."
"ex. http://domain.com","eks. http://minshop.dk"
"per page","pr. side"
"products","produkter"
"save","spar"
"select all","vælg alle"
"unselect all","fravælg alle"
