"(Excl. Tax)","(Ekskl. moms)"
"Submitting order information...","Indsender ordreoplysninger..."
"Telephone","Telefonnummer"
"Terms and Conditions Information","Information om vilkår og betingelser "
"Terms and conditions","Handelsvilkår"
"Text","Tekst"
"Thank you for your purchase!","Tak for dit køb!"
"The product does not exist.","Produktet findes ikke."
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"This condition no longer exists.","Denne betingelse eksisterer ikke længere."
"Total","I alt"
"Total for this address","Alt på denne adresse"
"Unit Price","Enhedspris"
"Update","Opdater"
"Update Cart","Opdater kurv"
"Update Qty &amp; Addresses","Opdater antal &amp; adresser"
"Update Shopping Cart","Opdater indkøbskurv"
"Update Total","Opdater total"
"Use Billing Address","Anvend betalingsadresse"
"VAT Number","CVR nummer"
"View Shopping Cart","Se indkøbskurv"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Din ordre bliver behandlet og du vil snarest modtage en e-mail med ordrekvittering.<br/>Så snart ordren er afsendt sender vi dig en e-mail med et link, hvor du kan følge ordren."
"What's this?","Hvad er dette?"
"You have no items in your shopping cart.","Der er ingen produkter i din indkøbskurv."
"You will receive an order confirmation email with details of your order and a link to track its progress.","En ordrebekræftelse er blevet sendt til din e-mail-adresse."
"Your Checkout Progress","Dit bestillingsforløb"
"Your order number is ","Dit ordrenummer er "
"Zip/Postal Code","Postnummer"
"or","eller"
