"* Required Fields","* Obavezna polja"
"Input Type","Vrsta unosa"
"Integer","Ceo broj"
"Is Default","Je podrazumevano"
"Label","Oznaka"
"Last Name","Prezime"
"Learn More","Saznajte više"
"List","Lista"
"Manage Attribute Sets","Upravljanje skupom atributa"
"Manage Catalog Categories","Upravljanje katalogom kategorija"
"Manage Categories","Upravljanje kategorijama"
"Manage Product Attributes","Upravljanje atributima proizvoda"
"Manage Product Sets","Upravljanje skupom proizvoda"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovima (Veličina, boja, itd.)"
"Max Characters","Maximalno znakova"
"Maximal Depth","Maksimalna dubina"
"Maximum Image Size","Maksimalna veličina slike"
"Media Image","Slika medija"
"My Account","Moj nalog"
"N/A","N/A - nije dostupno"
"Name","Ime"
"New Product","Novi proizvod"
"New Product Attribute","Novi atributi proizvoda"
"New Products","Novi proizvodi"
"New Set Name","Nov skup imena"
"Next","Sledeći"
"No","Ne"
"No layout updates","Nema raspored ažuriranja"
"No options of this product are available.","Ni jedna opcija za ovaj proizvod nije dostupna."
"None","Ništa"
"Not Visible Individually","Nije vidljivo individualno"
"Notify Low Stock RSS","Prijavi malu količinu na stanju RSS"
"Out of stock","Nema na lageru"
"PM","Posle podne"
"Parent Category","Matična kategorija"
"Pending","Na čekanju"
"Please wait...","Molimo sačekajte..."
"Position","Pozicija"
"Prev","Prethodno"
"Previous","Prethodni"
"Price","Cena"
"Price Type","Vrstu cena"
"Print This Page","Štampaj ovu stranu"
"Product","Proizvod"
"Product Alerts","Alarm proizvoda"
"Product Attributes","Atributi proizvoda"
"Product Name","Naziv proizvoda"
"Product is not loaded","Proizvod nije učitan"
"Products","Proizvodi"
"Products Comparison List","Lista proizvoda za poređenje"
"Products Information","Informacije o proizvodima"
"Products only","Samo proizvodi"
"Properties","Svojstva"
"Qty","Kol"
"Quantity","Količina"
"Redirect URL","Preusmjeravanje URL"
"Related Products","Slični proizvodi"
"Remove","Ukloni"
"Remove This Item","Ukloni ovu stavku"
"Reset","Resetovati"
"Results","Rezultati"
"Root","Početak"
"SKU","Šifra"
"Save","Sačuvaj"
"Save Attribute","Sačuvati atribut"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Scope","Opseg"
"Search","Pretraga"
"Search Query","Upit za pretragu"
"Searchable","Mogu se pretraživati"
"See price before order confirmation.","Proveri cenu pre potvrde naruđbine."
"Send Count","Poslati broj"
"Set Ascending Direction","Postavi rastući smer"
"Set Descending Direction","Postavi opadajući smer"
"Settings","Podešavanja"
"Shop By","Kupiti po"
"Shopping Options","Opcije kupovine"
"Show","Prikaži"
"Some of the selected item options are not currently available.","Neke izabrane opcije stavke nisu trenutno dostupne."
"Sort By","Poređaj po"
"Sort Order","Redosled porudžbina"
"Static","Statički"
"Static block and products","Statični blok i proizvodi"
"Static block only","Samo statički blok"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"Stretch","Rastegnuti"
"Subscribe to RSS Feed","Prijavi se na RSS Feed"
"System Properties","Osobine sistema"
"Tax","Porez"
"Template","Šablon"
"Text","Tekst"
"There are no customers for this alert.","Nema korisnika za ovo upozorenje."
"This attribute cannot be edited.","Ovaj atribut se ne može izmeniti."
"This attribute set no longer exists.","Ovaj skup atributa više ne postoji."
"Tier Pricing","Cenovnik za sloj"
"Tile","Popločano"
"Title","Naslov"
"Top/Left","Gore/Levo"
"Top/Right","Gore/Desno"
"Type","Tip"
"Unassigned Attributes","Nedodeljeni atribute"
"Up-sells","Up-prodaje"
"Update","Ažuriraj"
"Update Attributes","Ažurirati atribute"
"Use Canonical Link Meta Tag For Categories","Koristi Canonical Link Meta Tag za kategorije"
"Use Canonical Link Meta Tag For Products","Koristi Canonical Link Meta Tag za proizvode"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Use Default Value","Koristi podrazumevanu vrednost"
"Use JavaScript Calendar","Koristi JavaScript kalendar"
"Use for Promo Rule Conditions","Koristi za uslove Promo pravila"
"Used for Sorting in Product Listing","Koriste se za sortiranje u listingu proizvoda"
"Used in Product Listing","Koristi se u listingu proizvoda"
"View Details","Pogledaj detalje"
"View as","Pregledi kao"
"Visibility","Vidljivost"
"Visible","Vidljivo"
"WYSIWYG Editor","Editor Šta vidiš to dobiješ"
"Website","Web sajt"
"Websites","Web stranice"
"What's this?","Što je ovo?"
"Yes","Da"
"You have no items to compare.","Nemate artikle za poređenje."
"per page","po stranici"
"select all","izaberi sve"
"unselect all","poništi izabrane"
