"* Required Fields","* Nødvendige felt"
"Not Visible Individually","Ikke sett individuelt"
"Notify Low Stock RSS","Varsle lav lager RSS"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Number of Products per Page","Antall varer per side"
"Number of Products to Display","Antall produkter å vise"
"Number of results","Antall resultat"
"On Gesture","På gest"
"Options","Innstillinger"
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"Page Title Separator","Sidetittel skilletegn"
"Parent Category","Overordnet kategori"
"Pending","Ventende"
"Please add rows to option.","Vennligst legg rader til alternativ."
"Please specify date required option(s).","Angi alternativene for datoen som kreves."
"Please specify the quantity of product(s).","Vennligst spesifiser antall produkt(er)."
"Please specify time required option(s).","Angi alternativene for tid."
"Please wait...","Vennligst vent..."
"Position","Posisjon"
"Prev","Forrige"
"Previous","Forrige"
"Price","Pris"
"Price Type","Pristype"
"Price:","Pris:"
"Print This Page","Skriv ut denne siden"
"Product","Produkt"
"Product Alerts","Produktmeldinger"
"Product Attribute","Produkt-attributt"
"Product Attributes","Produkt-attributter"
"Product Categories","Produktkategorier"
"Product Flat Data","Produkt Flat Data"
"Product ID","Produkt ID"
"Product Image Placeholders","Produkt bilde plassholdere"
"Product Image Watermarks","Produktbilde vannmerker"
"Product In Websites","Produkt i nettsteder"
"Product Info Column","Produktinfokolonne"
"Product Link Block Template","Produktmal Link blokk"
"Product Link Inline Template","Produktmal Link Inline"
"Product Listing Sort by","Produktliste sortert etter"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product URL Suffix","Produkt URL suffiks"
"Product is not loaded","Produktet er ikke lastet"
"Products","Produkter"
"Products Comparison List","Sammenligning produktlisten"
"Products Information","Produktinformasjon"
"Products Reviews","Produktomtaler"
"Products only","Kun produkter"
"Products per Page on Grid Allowed Values","Produkter per side på rutenettet tillatte verdier"
"Products per Page on Grid Default Value","Produkter per side på rutenettet standardverdi"
"Products per Page on List Allowed Values","Produkter per side på listen over tillatte verdier"
"Products per Page on List Default Value","Produkter per side på listen standardverdi"
"Properties","Egenskaper"
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Qty Uses Decimals","Antall bruker desimaler"
"Qty:","Antall:"
"Quantity","Antall"
"Redirect URL","Omdirigere URL"
"Related Products","Beslektede produkter"
"Remove","Fjern"
"Remove Product From Websites","Fjerne produktet fra nettsteder"
"Remove This Item","Fjern denne varen"
"Reorganize EAV category structure to flat structure","Omorganisere EAV kategoristrukturen til flat struktur"
"Reorganize EAV product structure to flat structure","Omorganisere EAV produktstrukturen til flat struktur"
"Reset","Nullstill"
"Results","Resultater"
"Reviews","Produktomtaler"
"Root","Rot"
"SKU","Varenummer"
"Save","Lagre"
"Save Attribute","Lagre attributt"
"Save Search","Lagre søk"
"Save and Continue Edit","Lagre og fortsett redigering"
"Scope","Omfang"
"Search","Søk"
"Search Information","Søkeinformasjon"
"Search Query","Søkeord"
"Search Weight","Søk Vekt"
"Searchable","Søkbar"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"Select Category...","Velg kategori..."
"Select Product...","Velg produkt..."
"Select type options required values rows.","Velg typealternativer krever verdier rader."
"Send Count","Send telling"
"Set Ascending Direction","Angi stigende retning"
"Set Descending Direction","Angi synkende retning"
"Settings","Innstillinger"
"Shop By","Handle etter"
"Shopping Options","Butikkalternativer"
"Show","Vis"
"Show Details","Vis detaljer"
"Sitemap","Sidekart"
"Some of the selected item options are not currently available.","Noen av de valgte alternativene er ikke tilgjengelige for øyeblikket."
"Sort By","Sorter etter"
"Sort Order","Sorteringsrekkefølge"
"Static","Statisk"
"Static block and products","Statisk blokk og produkter"
"Static block only","Kun statisk blokk"
"Stock Availability","Lagertilgjengelighet"
"Store","Butikk"
"Store View","Butikkvisning"
"Stretch","Strekk"
"Subscribe to RSS Feed","Abonner på RSS Feed"
"System Properties","Systemegenskaper"
"Tax","Avgift"
"Template","Mal"
"Text","Tekst"
"The base directory to upload file is not specified.","Hovedmappen hvor du skal laste opp filen er ikke definert."
"There are no customers for this alert.","Det finnes ingen kunder for dette varselet."
"This attribute cannot be edited.","Attributtet kan ikke redigeres."
"This attribute is used in configurable products.","Dette attributtet er brukt i konfigurerbare produkter."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Attributtet brukes i konfigurerbare produkter. Du kan ikke fjerne det fra attributtsettet."
"This attribute set no longer exists.","Dette attributtet finnes ikke lenger."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppen inneholder systemattributter. Vennligst flytte systemattributter til en annen gruppe og prøv på nytt."
"This search no longer exists.","Dette søket finnes ikke lenger."
"Tier Pricing","Nivå prising"
"Tile","Flis"
"Time Format","Tidsformat"
"Title","Tittel"
"To see product price, add this item to your cart. You can always remove it later.","For å se produktprisen, kan du legge til dette elementet til din handlekurv. Du kan alltids fjerne den senere."
"Top/Left","Øverst/venstre"
"Top/Right","Øverste/høyre"
"URL Rewrite Management","URL omskrive Management"
"Unassigned Attributes","Ikke tilordnede attributter"
"Update","Oppdater"
"Update Attributes","Oppdatere attributter"
"Update attributes","Oppdater attributter"
"Use Canonical Link Meta Tag For Categories","Bruke kanoniske Link metakoden for kategorier"
"Use Canonical Link Meta Tag For Products","Bruke kanoniske Link metakoden for produkter"
"Use Categories Path for Product URLs","Bruk kategoribane for produkt-URL'er"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use Default Value","Bruk standardverdi"
"Use Flat Catalog Category","Bruk Flat katalogen kategori"
"Use Flat Catalog Product","Bruk Flat katalog produkt"
"Use JavaScript Calendar","Bruk JavaScript kalender"
"Use config","Bruk konfigurasjon"
"Use default","Bruk standard"
"Use for Promo Rule Conditions","Bruk i Promo-regelbetingelser"
"Use in Layered Navigation","Bruk i lagdelt navigasjon"
"Used for Sorting in Product Listing","Brukes til sortering i produktliste"
"Used in Product Listing","Brukes i produktliste"
"View Details","Vis detaljer"
"View as","Vise som"
"Visibility","Synlighet"
"Visible","Synlig"
"Website","Nettsted"
"Websites","Nettsider"
"What's this?","Hva er dette?"
"Year Range","År rekkefølge"
"Yes","Ja"
"You have no items to compare.","Ingen produkter å sammenligne."
"and above","og over"
"per page","per side"
"products","produkter"
"save","spar"
"select all","velg alle"
"unselect all","opphev merking"
