"%s Item(s)","%s 아이템(들)"
"* Required Fields","* 필수 항목"
"Compare Products","상품 비교"
"Conditions Combination","조건 조합"
"Continue","계속"
"Country/State","국가"
"Cross-sells","교차판매"
"Custom Design","커스텀 디자인"
"Customer Group","고객 그룹"
"Customers Reviews","고객 리뷰"
"Datetime","날짜"
"Decimal","소수"
"Default Popup Text Message","기본 팝업 텍스트 메시지"
"Default Price","기본 가격"
"Default Qty","기본 수량"
"Default Values","기본값"
"Delete","삭제"
"Delete Attribute","어트리뷰트 삭제"
"Delete Option","옵션 삭제"
"Delete Row","열 삭제"
"Delete Selected Group","선택 그룹 삭제"
"Description","상세 설명"
"Design","디자인"
"Details","상세 정보"
"Disabled","비활성화"
"Display Actual Price","실제 가격 표시"
"Display Page Control","페이지 표시 컨트롤"
"Display Type","디스플레이 타입"
"Downloadable Information","다운로드 정보"
"Edit","수정"
"Edit Product Attribute","상품 어트리뷰트 수정"
"Email","이메일 주소"
"Email to a Friend","친구에게 이메일보내기"
"Enable Qty Increments","수량 증가 사용"
"Enabled","활성화"
"Exclude","제외"
"Expand All","모두 확장 "
"Filter","필터"
"First Name","이름"
"Fixed","고정 요금"
"Gallery","갤러리"
"General Information","일반 정보"
"Global","글로벌"
"Go to Home Page","홈페이지 가기 "
"Grid","그리드"
"Groups","그룹"
"Home","홈 "
"Image","이미지"
"In Stock","재고 있음"
"In stock","재고 있음"
"Incl. Tax","세금 포함"
"Index product prices","상품 가격 인덱스"
"Input Type","입력 타입"
"Integer","정수형"
"Label","라벨"
"Last Name","성"
"Learn More","더 알아보기"
"List","리스트"
"List Mode","리스트 모드"
"List of Products that are set as New","신규로 지정된 상품 리스트"
"Manage Attribute Sets","어트리뷰트 세트 관리"
"Manage Catalog Categories","카탈로그 카테고리 관리"
"Manage Categories","카테고리 관리"
"Manage Product Attributes","상품 어트리뷰트 관리"
"Manage Product Sets","상품 세트 관리"
"Manage Stock","재고 관리"
"Manage Titles (Size, Color, etc.)","타이틀 관리(사이즈, 색상 등)"
"Max Characters","최대 글자수"
"Maximum Image Size","최대 이미지 사이즈"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Maximum image height","최대 이미지 높이"
"Maximum image width","최대 이미지 폭"
"Maximum number of characters:","최대 글자수:"
"Media Image","미디어 이미지"
"Minimum Advertised Price","최소 광고 가격"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"My Account","내 계정"
"N/A","해당없음"
"Name","이름 "
"New Product","신규 상품"
"New Product Attribute","신규 상품 어트리뷰트"
"New Products","신규 상품"
"New Products Grid Template","신규 상품 그리드 템플릿"
"New Products List Template","신규 상품 리스트 템플릿"
"New Set Name","신규 세트 이름"
"New products","신규 상품"
"Next","다음"
"No","아니오"
"No options of this product are available.","상품의 옵션이 없습니다."
"None","없음"
"Not Visible Individually","개별 표시 안함"
"Notify Low Stock RSS","재고부족 알림 RSS"
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Number of Products per Page","페이지당 상품 수"
"Number of Products to Display","보여질 상품 수"
"OK","확인"
"Options","옵션"
"Out of Stock","품절"
"Out of stock","품절"
"Page Title Separator","페이지 타이틀 구분자"
"Parent Category","상위 카테고리"
"Pending","보류 중"
"Please add rows to option.","옵션에 열 추가"
"Please specify date required option(s).","필수 날짜 옵션을 지정해 주십시오."
"Please specify time required option(s).","필수 시간 옵션을 지정해 주십시오."
"Please wait...","잠시 기다려주세요..."
"Position","기본"
"Prev","이전"
"Previous","이전"
"Price","가격"
"Price Type","가격 타입"
"Price:","가격:"
"Print This Page","페이지 인쇄"
"Product","상품"
"Product Alerts","상품 알림"
"Product Attribute","상품 어트리뷰트"
"Product Attributes","상품 어트리뷰트"
"Product Categories","상품 카테고리"
"Product Image Watermarks","상품 이미지 워터마크"
"Product In Websites","웹사이트 상품"
"Product Name","상품명"
"Product Reviews","상품 리뷰"
"Product URL Suffix","상품 URL 접미사"
"Product is not loaded","상품이 로드되지 않았습니다."
"Products","상품"
"Products Comparison List","상품 비교 리스트"
"Products Information","상품 정보"
"Products Reviews","상품 리뷰"
"Products Sitemap","상품 사이트맵"
"Products only","상품만"
"Products per Page on Grid Allowed Values","그리드 보기에서 페이지당 보이는 상품 수"
"Products per Page on Grid Default Value","그리드 보기에서 페이지당 보이는 기본 상품 수"
"Products per Page on List Allowed Values","리스트 보기에서 페이지당 보이는 상품 수"
"Products per Page on List Default Value","리스트 보기에서 페이지당 보이는 기본 상품 수"
"Properties","속성"
"Qty","수량"
"Qty Increments","수량 증가"
"Qty Uses Decimals","수량에 소수점 사용"
"Qty:","수량:"
"Quantity","수량"
"Redirect URL","리디렉션 URL"
"Related Products","관련 상품"
"Remove","삭제"
"Remove Product From Websites","웹사이트에서 상품 삭제"
"Remove This Item","항목 삭제"
"Reset","초기화"
"Results","결과"
"Reviews","리뷰"
"Root","최상위"
"Save","저장"
"Save Attribute","어트리뷰트 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Scope","적용범위"
"Search","검색"
"Search Query","검색 쿼리"
"Search Weight","중량 검색"
"See price before order confirmation.","판매가를 잘 확인하신 후 주문을 확정해주세요."
"Select Category...","카테고리 선택..."
"Select Product...","상품 선택..."
"Set Ascending Direction","오름차순"
"Set Descending Direction","내림차순"
"Settings","설정"
"Shop By","정렬순서"
"Shopping Options","쇼핑 옵션"
"Show","보기"
"Site Map","사이트맵"
"Sitemap","사이트맵"
"Some of the selected item options are not currently available.","선택한 옵션중 현재 사용 불가한것이 있습니다."
"Sort By","정렬 기준"
"Sort Order","정렬 순서"
"Static block and products","정적 블럭과 상품"
"Static block only","정적 블럭만"
"Status","상태"
"Stock Availability","재고상태"
"Store","스토어"
"Store View","스토어뷰"
"Stretch","늘리기"
"Subscribe to RSS Feed","RSS 구독"
"System Properties","시스템 속성"
"Tax","세금"
"Template","템플릿"
"Text","텍스트"
"The base directory to upload file is not specified.","파일을 업로드 하기 위한 기본 디렉토리가 지정되지 않았습니다."
"The review was removed by another user or does not exist.","이 리뷰는 다른 사용자에 의해 삭제되었거나 존재 하지 않습니다."
"This attribute cannot be edited.","해당 어트리뷰트는 수정할 수 없습니다."
"This attribute set no longer exists.","해당 어트리뷰트 세트는 더이상 존재하지 않습니다."
"This group contains system attributes. Please move system attributes to another group and try again.","해당 그룹은 시스템 어트리뷰트를 포함하고 있습니다. 시스템 어트리뷰트를 다른 그룹으로 옮기고 다시 시도해 주십시오."
"Tile","타일"
"Time Format","시간 형식"
"Title","타이틀"
"To see product price, add this item to your cart. You can always remove it later.","가격을 확인하시려면 상품을 장바구니에 담아주세요. 언제든지 제거할 수 있습니다."
"Top/Left","상단/좌측"
"Top/Right","상단/우측"
"Type","타입"
"Unassigned Attributes","미할당 어트리뷰트"
"Up-sells","상향판매"
"Update","확인"
"Update Attributes","어트리뷰트 업데이트"
"Update attributes","어트리뷰트 업데이트"
"Use Canonical Link Meta Tag For Categories","카테고리에 캐노니컬 링크 사용"
"Use Canonical Link Meta Tag For Products","상품에 캐노니컬 링크 사용"
"Use Categories Path for Product URLs","카테고리 경로를 상품 URL에 사용"
"Use Config Settings","스토어 설정값 사용"
"Use Default Value","기본값 사용"
"Use Flat Catalog Category","플랫 카탈로그 카테고리 사용"
"Use Flat Catalog Product","플랫 카탈로그 상품 사용"
"Use JavaScript Calendar","자바스트립트 달력 사용"
"Used for Sorting in Product Listing","상품 목록의 정렬 기준으로 사용"
"Used in Product Listing","상품 목록에 사용"
"View Details","자세히 보기"
"View as","보기"
"Visibility","가시성"
"WYSIWYG Editor","WYSIWYG 에디터"
"Website","웹사이트"
"Websites","웹사이트"
"What's this?","이게 뭐죠?"
"Year Range","연도 범위"
"Yes","네"
"You have no items to compare.","비교 리스트에 상품이 없습니다."
"per page","페이지 당"
"save","저장"
"select all","모두 선택"
"unselect all","모두 해제"
